height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
80,Gnav-logo,header#AdobePrimaryNav > nav > a,0,Adobe,0,Adobe,A,/html/body/div[4]/header/nav/a,A,Adobe,1,114,0,0
80,Gnav-menu-label,li#Globalnav.Creativity_Design > a,0,Creativity & Design,0,Creativity,A,/html/body/div[4]/header/nav/div/div/ul/li/a,A,Creativity & Design,2,153,260,0
80,Gnav-menu-label,li#Globalnav.Marketing_Analytics > a,0,Marketing & Analytics,0,Marketing ,A,/html/body/div[4]/header/nav/div/div/ul/li[2]/a,A,Marketing & Analytics,3,171,413,0
80,Gnav-menu-label,li#Globalnav.Documents_and_E_Signatures > a,0,PDF & E-signatures,0,PDF & E-si,A,/html/body/div[4]/header/nav/div/div/ul/li[3]/a,A,PDF & E-signatures,4,153,584,0
80,Gnav-menu-label,li#Globalnav.Business_Solutions > a,0,Business Solutions,0,Business S,A,/html/body/div[4]/header/nav/div/div/ul/li[4]/a,A,Business Solutions,5,149,737,0
80,Gnav-menu-label,li#Globalnav.Support > a,0,Support,0,Support,A,/html/body/div[4]/header/nav/div/div/ul/li[5]/a,A,Support,6,87,886,0
40,SAYT-action-search,header#AdobePrimaryNav > nav > div:nth-of-type(2) > a,0,,0,,A,/html/body/div[4]/header/nav/div[2]/a,A,,7,40,1140,20
33,cta-button,html > body > main > section > figure > article > section > ul > li > a,0,Individuals,0,Individual,A,/html/body/main/section/figure/article/section/ul/li/a,A,Individuals,8,101,209,408
33,cta-button,html > body > main > section > figure > article > section > ul > li:nth-of-type(2) > a,0,Business,0,Business,A,/html/body/main/section/figure/article/section/ul/li[2]/a,A,Business,9,87,333,408
33,cta-button-secondary,aside#pod-1 > section > div:nth-of-type(2) > ul > li > a,0,Learn how,0,Learn how,A,/html/body/main/section/figure/aside/section/div[2]/ul/li/a,A,Learn how,10,100,221,1039
33,cta-button-secondary,aside#pod-1 > section:nth-of-type(2) > div:nth-of-type(2) > ul > li > a,0,Buy now,0,Buy now,A,/html/body/main/section/figure/aside/section[2]/div[2]/ul/li/a,A,Buy now,11,87,480,1039
20,cta-text-light,aside#pod-1 > section:nth-of-type(2) > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,0,Discover Adobe Sign,0,Discover A,A,/html/body/main/section/figure/aside/section[2]/div[2]/ul/li[2]/a,A,Discover Adobe Sign,12,133,587,1045
33,cta-button-secondary,aside#pod-1 > section:nth-of-type(3) > div:nth-of-type(2) > ul > li > a,0,Start now,0,Start now,A,/html/body/main/section/figure/aside/section[3]/div[2]/ul/li/a,A,Start now,13,94,882,1039
33,cta-button-secondary,aside#pod-2 > section > div:nth-of-type(2) > ul > li > a,0,Learn more,0,Learn more,A,/html/body/main/section/figure[2]/aside/section/div[2]/ul/li/a,A,Learn more,14,106,-994,1018
33,cta-button-secondary,aside#pod-2 > section:nth-of-type(2) > div:nth-of-type(2) > ul > li > a,0,Buy now,0,Buy now,A,/html/body/main/section/figure[2]/aside/section[2]/div[2]/ul/li/a,A,Buy now,15,87,-732,1018
20,cta-text-light,aside#pod-2 > section:nth-of-type(2) > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,0,Discover Adobe Sign,0,Discover A,A,/html/body/main/section/figure[2]/aside/section[2]/div[2]/ul/li[2]/a,A,Discover Adobe Sign,16,133,-625,1024
33,cta-button-secondary,aside#pod-2 > section:nth-of-type(3) > div:nth-of-type(2) > ul > li > a,0,Learn more,0,Learn more,A,/html/body/main/section/figure[2]/aside/section[3]/div[2]/ul/li/a,A,Learn more,17,106,-336,1018
33,cta-button-secondary,aside#pod-3 > section > div:nth-of-type(2) > ul > li > a,0,Learn how,0,Learn how,A,/html/body/main/section/figure[3]/aside/section/div[2]/ul/li/a,A,Learn how,18,100,-991,1018
33,cta-button-secondary,aside#pod-3 > section:nth-of-type(2) > div:nth-of-type(2) > ul > li > a,0,Learn more,0,Learn more,A,/html/body/main/section/figure[3]/aside/section[2]/div[2]/ul/li/a,A,Learn more,19,106,-665,1018
33,cta-button-secondary,aside#pod-3 > section:nth-of-type(3) > div:nth-of-type(2) > ul > li > a,0,Learn more,0,Learn more,A,/html/body/main/section/figure[3]/aside/section[3]/div[2]/ul/li/a,A,Learn more,20,106,-336,1018
19,Footernav-menu-label,li#Globalnav.Products > a,0,Products,0,Products,A,/html/body/div[5]/footer/div/div[2]/ul/li/a,A,Products,21,191,20,1238
24,Footernav-submenu-link,li#Globalnav.Products.Creative_Cloud > a,0,Creative Cloud,0,Creative C,A,/html/body/div[5]/footer/div/div[2]/ul/li/div/ul/li/a,A,Creative Cloud,22,83,20,1269
24,Footernav-submenu-link,li#Globalnav.Products.Experience_Cloud > a,0,Experience Cloud,0,Experience,A,/html/body/div[5]/footer/div/div[2]/ul/li/div/ul/li[2]/a,A,Experience Cloud,23,99,20,1293
24,Footernav-submenu-link,li#Globalnav.Products.Document_Cloud > a,0,Document Cloud,0,Document C,A,/html/body/div[5]/footer/div/div[2]/ul/li/div/ul/li[3]/a,A,Document Cloud,24,96,20,1317
24,Footernav-submenu-link,li#Globalnav.Products.Elements_15_Family > a,0,Elements 2018 Family,0,Elements 2,A,/html/body/div[5]/footer/div/div[2]/ul/li/div/ul/li[4]/a,A,Elements 2018 Family,25,122,20,1341
24,Footernav-submenu-link,li#Globalnav.Products.Special_offers > a,0,Special offers,0,Special of,A,/html/body/div[5]/footer/div/div[2]/ul/li/div/ul/li[5]/a,A,Special offers,26,75,20,1365
24,Footernav-submenu-link,li#Globalnav.Products.View_all_products > a,0,View all products,0,View all p,A,/html/body/div[5]/footer/div/div[2]/ul/li/div/ul/li[6]/a,A,View all products,27,98,20,1389
19,Footernav-menu-label,li#Globalnav.Blogs_Community > a,0,Blogs & Community,0,Blogs & Co,A,/html/body/div[5]/footer/div/div[2]/ul/li[2]/a,A,Blogs & Community,28,403,272,1238
