height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
30,b_searchbox,input#sb_form_q,sb_form_q,,q,,INPUT,/html/body/table/tbody/tr/td/div/div[2]/div[3]/form/div/region/input,INPUT,,1,490,252,127
45,b_searchboxSubmit,input#sb_form_go,sb_form_go,,go,,INPUT,/html/body/table/tbody/tr/td/div/div[2]/div[3]/form/div/div/input,INPUT,,2,45,743,121
39,0,a#scpl0,scpl0,图片,0,图片,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li/a,A,图片,3,26,88,2
39,0,a#scpl1,scpl1,视频,0,视频,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li[2]/a,A,视频,4,26,150,2
39,0,a#scpl2,scpl2,学术,0,学术,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li[3]/a,A,学术,5,26,212,2
39,0,a#scpl3,scpl3,词典,0,词典,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li[4]/a,A,词典,6,26,274,2
39,0,a#scpl4,scpl4,地图,0,地图,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li[5]/a,A,地图,7,26,336,2
39,0,li#office > a,0,Office,0,Office,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li[7]/a,A,Office,8,34,431,2
39,0,li#outlook > a,0,Outlook.com,0,Outlook.co,A,/html/body/table/tbody/tr/td/div/div[5]/div/ul/li[8]/a,A,Outlook.com,9,73,501,2
42,id_button,a#id_l,id_l,登录,0,登录,A,/html/body/table/tbody/tr/td/div/div[5]/div/div/div/a,A,登录,10,95,987,2
16,idp_ham hphbtop,a#id_sc,id_sc,,0,,A,/html/body/table/tbody/tr/td/div/div[5]/div/div/div/a[2],A,,11,20,1092,14
40,0,div#sh_rdiv > a,0,,0,,A,/html/body/table/tbody/tr/td/div/div[6]/div/div/a,A,,12,60,910,459
40,0,a#sh_igl,sh_igl,,0,,A,/html/body/table/tbody/tr/td/div/div[6]/div/div/a[4],A,,13,60,970,459
40,0,a#sh_igr,sh_igr,,0,,A,/html/body/table/tbody/tr/td/div/div[6]/div/div/a[5],A,,14,60,1030,459
43,sc_light,a#sh_cp,sh_cp,,0,,A,/html/body/table/tbody/tr/td/div/div[6]/div/div/a[6],A,,15,60,1090,459
16,0,a#sb_MMAIS,sb_MMAIS,京公网安备11010802022657号,0,京公网安备11010,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[3]/a,A,京公网安备11010802022657号,16,177,471,539
16,0,a#sb_privacy,sb_privacy,隐私声明和 Cookie,0,隐私声明和 Cook,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[4]/a,A,隐私声明和 Cookie,17,107,49,574
16,0,a#sb_legal,sb_legal,法律声明,0,法律声明,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[5]/a,A,法律声明,18,52,180,574
16,0,a#sb_advertise,sb_advertise,广告,0,广告,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[6]/a,A,广告,19,26,256,574
16,0,a#sb_report,sb_report,报告,0,报告,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[7]/a,A,报告,20,26,306,574
16,0,a#sb_help,sb_help,帮助,0,帮助,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[8]/a,A,帮助,21,26,356,574
16,0,a#sb_feedback,sb_feedback,反馈,0,反馈,A,/html/body/table/tbody/tr/td/div/div[6]/footer/div/ul/li[9]/a,A,反馈,22,26,406,574
