height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
39,0,div#logo > a,0,craigslist,0,craigslist,A,/html/body/div/section/div[2]/div/a,A,craigslist,1,113,152,18
19,0,a#post,post,post to classifieds,0,post to cl,A,/html/body/div/section/div[2]/ul/li/a,A,post to classifieds,2,119,150,75
19,0,ul#postlks > li:nth-of-type(2) > a,0,my account,0,my account,A,/html/body/div/section/div[2]/ul/li[2]/a,A,my account,3,68,175,99
27,querybox flatinput ui-autocomplete-input,input#query,query,,query,,INPUT,/html/body/div/section/div[2]/form/input[2],INPUT,,4,168,125,135
19,0,h4#calban > a,0,event calendar,0,event cale,A,/html/body/div/section/div[2]/h4/a,A,event calendar,5,93,162,174
17,0,div#leftbar > table > tbody > tr:nth-of-type(2) > td:nth-of-type(4) > a,0,5,0,5,A,/html/body/div/section/div[2]/table/tbody/tr[2]/td[4]/a,A,5,6,9,204,211
17,0,div#leftbar > table > tbody > tr:nth-of-type(2) > td:nth-of-type(5) > a,0,6,0,6,A,/html/body/div/section/div[2]/table/tbody/tr[2]/td[5]/a,A,6,7,9,226,211
17,0,div#leftbar > table > tbody > tr:nth-of-type(2) > td:nth-of-type(6) > a,0,7,0,7,A,/html/body/div/section/div[2]/table/tbody/tr[2]/td[6]/a,A,7,8,9,248,211
17,0,div#leftbar > table > tbody > tr:nth-of-type(2) > td:nth-of-type(7) > a,0,8,0,8,A,/html/body/div/section/div[2]/table/tbody/tr[2]/td[7]/a,A,8,9,9,270,211
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td > a,0,9,0,9,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td/a,A,9,10,9,139,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td:nth-of-type(2) > a,0,10,0,10,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td[2]/a,A,10,11,17,157,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td:nth-of-type(3) > a,0,11,0,11,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td[3]/a,A,11,12,16,179,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td:nth-of-type(4) > a,0,12,0,12,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td[4]/a,A,12,13,17,201,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td:nth-of-type(5) > a,0,13,0,13,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td[5]/a,A,13,14,17,222,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td:nth-of-type(6) > a,0,14,0,14,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td[6]/a,A,14,15,17,244,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(3) > td:nth-of-type(7) > a,0,15,0,15,A,/html/body/div/section/div[2]/table/tbody/tr[3]/td[7]/a,A,15,16,17,266,231
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td > a,0,16,0,16,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td/a,A,16,17,17,135,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td:nth-of-type(2) > a,0,17,0,17,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td[2]/a,A,17,18,17,157,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td:nth-of-type(3) > a,0,18,0,18,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td[3]/a,A,18,19,17,179,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td:nth-of-type(4) > a,0,19,0,19,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td[4]/a,A,19,20,17,201,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td:nth-of-type(5) > a,0,20,0,20,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td[5]/a,A,20,21,17,222,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td:nth-of-type(6) > a,0,21,0,21,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td[6]/a,A,21,22,17,244,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(4) > td:nth-of-type(7) > a,0,22,0,22,A,/html/body/div/section/div[2]/table/tbody/tr[4]/td[7]/a,A,22,23,17,266,252
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td > a,0,23,0,23,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td/a,A,23,24,17,135,272
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td:nth-of-type(2) > a,0,24,0,24,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td[2]/a,A,24,25,17,157,272
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td:nth-of-type(3) > a,0,25,0,25,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td[3]/a,A,25,26,17,179,272
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td:nth-of-type(4) > a,0,26,0,26,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td[4]/a,A,26,27,17,201,272
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td:nth-of-type(5) > a,0,27,0,27,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td[5]/a,A,27,28,17,222,272
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td:nth-of-type(6) > a,0,28,0,28,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td[6]/a,A,28,29,17,244,272
17,0,div#leftbar > table > tbody > tr:nth-of-type(5) > td:nth-of-type(7) > a,0,29,0,29,A,/html/body/div/section/div[2]/table/tbody/tr[5]/td[7]/a,A,29,30,17,266,272
20,0,ul#user_resources > li > a,0,"help, faq, abuse, legal",0,"help, faq,",A,/html/body/div/section/div[2]/ul[2]/li/a,A,"help, faq, abuse, legal",31,196,111,320
20,0,ul#user_resources > li:nth-of-type(2) > a,0,avoid scams & fraud,0,avoid scam,A,/html/body/div/section/div[2]/ul[2]/li[2]/a,A,avoid scams & fraud,32,196,111,344
20,0,ul#user_resources > li:nth-of-type(3) > a,0,personal safety tips,0,personal s,A,/html/body/div/section/div[2]/ul[2]/li[3]/a,A,personal safety tips,33,196,111,367
21,0,ul#user_resources > li:nth-of-type(4) > a,0,terms of usenew,0,terms of u,A,/html/body/div/section/div[2]/ul[2]/li[4]/a,A,terms of usenew,34,196,111,391
20,0,ul#user_resources > li:nth-of-type(5) > a,0,privacy policy,0,privacy po,A,/html/body/div/section/div[2]/ul[2]/li[5]/a,A,privacy policy,35,196,111,416
20,0,ul#user_resources > li:nth-of-type(6) > a,0,system status,0,system sta,A,/html/body/div/section/div[2]/ul[2]/li[6]/a,A,system status,36,196,111,439
20,0,ul#about_craigslist > li > a,0,about craigslist,0,about crai,A,/html/body/div/section/div[2]/ul[3]/li/a,A,about craigslist,37,196,111,489
20,0,ul#about_craigslist > li:nth-of-type(2) > a,0,craigslist is hiring in sf,0,craigslist,A,/html/body/div/section/div[2]/ul[3]/li[2]/a,A,craigslist is hiring in sf,38,196,111,513
20,0,ul#about_craigslist > li:nth-of-type(3) > a,0,craigslist open source,0,craigslist,A,/html/body/div/section/div[2]/ul[3]/li[3]/a,A,craigslist open source,39,196,111,536
20,0,ul#about_craigslist > li:nth-of-type(4) > a,0,craigslist blog,0,craigslist,A,/html/body/div/section/div[2]/ul[3]/li[4]/a,A,craigslist blog,40,196,111,560
20,0,ul#about_craigslist > li:nth-of-type(5) > a,0,best-of-craigslist,0,best-of-cr,A,/html/body/div/section/div[2]/ul[3]/li[5]/a,A,best-of-craigslist,41,196,111,583
20,0,ul#about_craigslist > li:nth-of-type(6) > a,0,craigslist TV,0,craigslist,A,/html/body/div/section/div[2]/ul[3]/li[6]/a,A,craigslist TV,42,196,111,607
20,0,ul#about_craigslist > li:nth-of-type(7) > a,0,"""craigslist joe""",0,"""craigslis",A,/html/body/div/section/div[2]/ul[3]/li[7]/a,A,"""craigslist joe""",43,196,111,630
20,0,ul#about_craigslist > li:nth-of-type(8) > a,0,craig connects,0,craig conn,A,/html/body/div/section/div[2]/ul[3]/li[8]/a,A,craig connects,44,196,111,654
20,ccc,div#ccc > h4 > a,0,community,0,community,A,/html/body/div/section/div[3]/div/div/h4/a,A,community,45,191,333,81
19,act,ul#ccc0 > li > a,0,activities,0,activities,A,/html/body/div/section/div[3]/div/div/div/ul/li/a,A,activities,46,62,328,107
19,ats,ul#ccc0 > li:nth-of-type(2) > a,0,artists,0,artists,A,/html/body/div/section/div[3]/div/div/div/ul/li[2]/a,A,artists,47,62,328,126
19,kid,ul#ccc0 > li:nth-of-type(3) > a,0,childcare,0,childcare,A,/html/body/div/section/div[3]/div/div/div/ul/li[3]/a,A,childcare,48,62,328,145
19,cls,ul#ccc0 > li:nth-of-type(4) > a,0,classes,0,classes,A,/html/body/div/section/div[3]/div/div/div/ul/li[4]/a,A,classes,49,62,328,164
19,eve,ul#ccc0 > li:nth-of-type(5) > a,0,events,0,events,A,/html/body/div/section/div[3]/div/div/div/ul/li[5]/a,A,events,50,62,328,183
19,com,ul#ccc0 > li:nth-of-type(6) > a,0,general,0,general,A,/html/body/div/section/div[3]/div/div/div/ul/li[6]/a,A,general,51,62,328,202
19,grp,ul#ccc0 > li:nth-of-type(7) > a,0,groups,0,groups,A,/html/body/div/section/div[3]/div/div/div/ul/li[7]/a,A,groups,52,62,328,221
19,vnn,ul#ccc0 > li:nth-of-type(8) > a,0,local news,0,local news,A,/html/body/div/section/div[3]/div/div/div/ul/li[8]/a,A,local news,53,62,328,240
19,laf,ul#ccc1 > li > a,0,lost+found,0,lost+found,A,/html/body/div/section/div[3]/div/div/div/ul[2]/li/a,A,lost+found,54,88,412,107
34,mis,ul#ccc1 > li:nth-of-type(2) > a,0,missed connections,0,missed con,A,/html/body/div/section/div[3]/div/div/div/ul[2]/li[2]/a,A,missed connections,55,88,412,126
19,muc,ul#ccc1 > li:nth-of-type(3) > a,0,musicians,0,musicians,A,/html/body/div/section/div[3]/div/div/div/ul[2]/li[3]/a,A,musicians,56,88,412,161
19,pet,ul#ccc1 > li:nth-of-type(4) > a,0,pets,0,pets,A,/html/body/div/section/div[3]/div/div/div/ul[2]/li[4]/a,A,pets,57,88,412,180
