height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
46,ob-button ob-button--link RebrandNavigation-nav--links-item,div#component7261559086858088324 > main > div > section > div > nav > div:nth-of-type(2) > div > a,0,For Teams,0,For Teams,A,/html/body/div[9]/div/main/div/section/div/nav/div[2]/div/a,A,For Teams,1,116,252,22
46,ob-button ob-button--link RebrandNavigation-nav--links-item,div#component7261559086858088324 > main > div > section > div > nav > div:nth-of-type(2) > div > a:nth-of-type(2),0,For Individuals,0,For Indivi,A,/html/body/div[9]/div/main/div/section/div/nav/div[2]/div/a[2],A,For Individuals,2,150,368,22
46,RebrandNavigation-nav--links-item RebrandNavigation-nav--links-item__sign-up ob-button ob-button--link,div#component7261559086858088324 > main > div > section > div > nav > div:nth-of-type(2) > section > button,0,,0,,BUTTON,/html/body/div[9]/div/main/div/section/div/nav/div[2]/section/button,BUTTON,Sign in,3,84,965,22
46,RebrandNavigation-nav--links-item RebrandNavigation-nav--links-item__sign-up RebrandNavigation-nav--links-item__hidden ob-button ob-button--link,div#component7261559086858088324 > main > div > section > div > nav > div:nth-of-type(2) > section > button:nth-of-type(2),0,,0,,BUTTON,/html/body/div[9]/div/main/div/section/div/nav/div[2]/section/button[2],BUTTON,Sign up,4,91,1049,22
60,zeus-rebrand-hero__waypoint zeus-arrow-button,div#component7261559086858088324 > main > div > section:nth-of-type(2) > div > div:nth-of-type(4) > button,0,,0,,BUTTON,/html/body/div[9]/div/main/div/section[2]/div/div[4]/button,BUTTON,,5,40,100,593
46,ob-button ob-button--link RebrandNavigation-nav--links-item,div#component7261559086858088324 > main > section > div > section > div > nav > div:nth-of-type(2) > div > a,0,For Teams,0,For Teams,A,/html/body/div[9]/div/main/section/div/section/div/nav/div[2]/div/a,A,For Teams,6,116,252,22
46,ob-button ob-button--link RebrandNavigation-nav--links-item,div#component7261559086858088324 > main > section > div > section > div > nav > div:nth-of-type(2) > div > a:nth-of-type(2),0,For Individuals,0,For Indivi,A,/html/body/div[9]/div/main/section/div/section/div/nav/div[2]/div/a[2],A,For Individuals,7,150,368,22
46,RebrandNavigation-nav--links-item RebrandNavigation-nav--links-item__sign-up RebrandNavigation-nav--links-item__hidden ob-button ob-button--link,div#component7261559086858088324 > main > section > div > section > div > nav > div:nth-of-type(2) > section > button,0,,0,,BUTTON,/html/body/div[9]/div/main/section/div/section/div/nav/div[2]/section/button,BUTTON,Sign in,8,84,965,22
46,RebrandNavigation-nav--links-item RebrandNavigation-nav--links-item__sign-up ob-button ob-button--link,div#component7261559086858088324 > main > section > div > section > div > nav > div:nth-of-type(2) > section > button:nth-of-type(2),0,,0,,BUTTON,/html/body/div[9]/div/main/section/div/section/div/nav/div[2]/section/button[2],BUTTON,Sign up,9,91,1049,22
46,ob-button ob-button--link RebrandNavigation-nav--links-item,div#component7261559086858088324 > main > section:nth-of-type(2) > div > section > div > nav > div:nth-of-type(2) > div > a,0,For Teams,0,For Teams,A,/html/body/div[9]/div/main/section[2]/div/section/div/nav/div[2]/div/a,A,For Teams,10,116,252,22
