height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
6,scoreboard-hidden-skipnav,section#global-scoreboard > button,0,,0,,BUTTON,/html/body/div[4]/div[2]/section/button,BUTTON,Skip to navigation,1,16,-10000,0
30,button button-filter sm dropdown-toggle current-league-name,section#global-scoreboard > div > div > div > div:nth-of-type(2) > button,0,,0,,BUTTON,/html/body/div[4]/div[2]/section/div/div/div/div[2]/button,BUTTON,Top Events,2,114,10,18
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(2) > a,0,"Thu, 5/14
					
					
						Match 1
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        A. Smith
                        A. Smith
                        
                            A. Smith
                            
                        
                    
                    
                        (-180)
                    
                
                
                    
                        
                            32-14-0
                        
                    
                
            
        
        
            
                
                
                    
                        32-14-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        G. Teixeira
                        G. Teixeira
                        
                            G. Teixeira
                            
                        
                    
                    
                        (+150)
                    
                
                
                    
                        
                            30-7-0
                        
                    
                
            
        
        
            
                
                
                    
                        30-7-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[2]/a,A,"Thu, 5/14
					
					
						Match 1
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        A. Smith
                        A. Smith
                        
                            A. Smith
                            
                        
                    
                    
                        (-180)
                    
                
                
                    
                        
                            32-14-0
                        
                    
                
            
        
        
            
                
                
                    
                        32-14-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        G. Teixeira
                        G. Teixeira
                        
                            G. Teixeira
                            
                        
                    
                    
                        (+150)
                    
                
                
                    
                        
                            30-7-0
                        
                    
                
            
        
        
            
                
                
                    
                        30-7-0",3,175,193,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(3) > a,0,"Thu, 5/14
					
					
						Match 2
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        B. Rothwell
                        B. Rothwell
                        
                            B. Rothwell
                            
                        
                    
                    
                        (+120)
                    
                
                
                    
                        
                            37-12-0
                        
                    
                
            
        
        
            
                
                
                    
                        37-12-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        O. Saint Preux
                        O. Saint Preux
                        
                            O. Saint Preux
                            
                        
                    
                    
                        (-150)
                    
                
                
                    
                        
                            24-13-0
                        
                    
                
            
        
        
            
                
                
                    
                        24-13-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[3]/a,A,"Thu, 5/14
					
					
						Match 2
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        B. Rothwell
                        B. Rothwell
                        
                            B. Rothwell
                            
                        
                    
                    
                        (+120)
                    
                
                
                    
                        
                            37-12-0
                        
                    
                
            
        
        
            
                
                
                    
                        37-12-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        O. Saint Preux
                        O. Saint Preux
                        
                            O. Saint Preux
                            
                        
                    
                    
                        (-150)
                    
                
                
                    
                        
                            24-13-0
                        
                    
                
            
        
        
            
                
                
                    
                        24-13-0",4,180,370,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(4) > a,0,"Thu, 5/14
					
					
						Match 3
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        A. Hernandez
                        A. Hernandez
                        
                            A. Hernandez
                            
                        
                    
                    
                        (-110)
                    
                
                
                    
                        
                            11-2-0
                        
                    
                
            
        
        
            
                
                
                    
                        11-2-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        D. Dober
                        D. Dober
                        
                            D. Dober
                            
                        
                    
                    
                        (-120)
                    
                
                
                    
                        
                            22-9-0
                        
                    
                
            
        
        
            
                
                
                    
                        22-9-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[4]/a,A,"Thu, 5/14
					
					
						Match 3
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        A. Hernandez
                        A. Hernandez
                        
                            A. Hernandez
                            
                        
                    
                    
                        (-110)
                    
                
                
                    
                        
                            11-2-0
                        
                    
                
            
        
        
            
                
                
                    
                        11-2-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        D. Dober
                        D. Dober
                        
                            D. Dober
                            
                        
                    
                    
                        (-120)
                    
                
                
                    
                        
                            22-9-0
                        
                    
                
            
        
        
            
                
                
                    
                        22-9-0",5,177,551,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(5) > a,0,"Thu, 5/14
					
					
						Match 4
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        R. Simon
                        R. Simon
                        
                            R. Simon
                            
                        
                    
                    
                        (-170)
                    
                
                
                    
                        
                            15-3-0
                        
                    
                
            
        
        
            
                
                
                    
                        15-3-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        R. Borg
                        R. Borg
                        
                            R. Borg
                            
                        
                    
                    
                        (+140)
                    
                
                
                    
                        
                            13-4-0
                        
                    
                
            
        
        
            
                
                
                    
                        13-4-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[5]/a,A,"Thu, 5/14
					
					
						Match 4
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        R. Simon
                        R. Simon
                        
                            R. Simon
                            
                        
                    
                    
                        (-170)
                    
                
                
                    
                        
                            15-3-0
                        
                    
                
            
        
        
            
                
                
                    
                        15-3-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        R. Borg
                        R. Borg
                        
                            R. Borg
                            
                        
                    
                    
                        (+140)
                    
                
                
                    
                        
                            13-4-0
                        
                    
                
            
        
        
            
                
                
                    
                        13-4-0",6,177,729,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(6) > a,0,"Thu, 5/14
					
					
						Match 5
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        K. Roberson
                        K. Roberson
                        
                            K. Roberson
                            
                        
                    
                    
                        (+155)
                    
                
                
                    
                        
                            9-2-0
                        
                    
                
            
        
        
            
                
                
                    
                        9-2-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        M. Vettori
                        M. Vettori
                        
                            M. Vettori
                            
                        
                    
                    
                        (-185)
                    
                
                
                    
                        
                            14-4-1
                        
                    
                
            
        
        
            
                
                
                    
                        14-4-1",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[6]/a,A,"Thu, 5/14
					
					
						Match 5
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        K. Roberson
                        K. Roberson
                        
                            K. Roberson
                            
                        
                    
                    
                        (+155)
                    
                
                
                    
                        
                            9-2-0
                        
                    
                
            
        
        
            
                
                
                    
                        9-2-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        M. Vettori
                        M. Vettori
                        
                            M. Vettori
                            
                        
                    
                    
                        (-185)
                    
                
                
                    
                        
                            14-4-1
                        
                    
                
            
        
        
            
                
                
                    
                        14-4-1",7,177,907,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(7) > a,0,"Thu, 5/14
					
					
						Match 6
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        A. Arlovski
                        A. Arlovski
                        
                            A. Arlovski
                            
                        
                    
                    
                        (+145)
                    
                
                
                    
                        
                            28-19-0
                        
                    
                
            
        
        
            
                
                
                    
                        28-19-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        P. Lins
                        P. Lins
                        
                            P. Lins
                            
                        
                    
                    
                        (-175)
                    
                
                
                    
                        
                            14-3-0
                        
                    
                
            
        
        
            
                
                
                    
                        14-3-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[7]/a,A,"Thu, 5/14
					
					
						Match 6
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        A. Arlovski
                        A. Arlovski
                        
                            A. Arlovski
                            
                        
                    
                    
                        (+145)
                    
                
                
                    
                        
                            28-19-0
                        
                    
                
            
        
        
            
                
                
                    
                        28-19-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        P. Lins
                        P. Lins
                        
                            P. Lins
                            
                        
                    
                    
                        (-175)
                    
                
                
                    
                        
                            14-3-0
                        
                    
                
            
        
        
            
                
                
                    
                        14-3-0",8,177,1085,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(8) > a,0,"Thu, 5/14
					
					
						Match 7
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        M. Johnson
                        M. Johnson
                        
                            M. Johnson
                            
                        
                    
                    
                        (-110)
                    
                
                
                    
                        
                            20-15-0
                        
                    
                
            
        
        
            
                
                
                    
                        20-15-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        T. Moises
                        T. Moises
                        
                            T. Moises
                            
                        
                    
                    
                        (-120)
                    
                
                
                    
                        
                            12-4-0
                        
                    
                
            
        
        
            
                
                
                    
                        12-4-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[8]/a,A,"Thu, 5/14
					
					
						Match 7
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        M. Johnson
                        M. Johnson
                        
                            M. Johnson
                            
                        
                    
                    
                        (-110)
                    
                
                
                    
                        
                            20-15-0
                        
                    
                
            
        
        
            
                
                
                    
                        20-15-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        T. Moises
                        T. Moises
                        
                            T. Moises
                            
                        
                    
                    
                        (-120)
                    
                
                
                    
                        
                            12-4-0
                        
                    
                
            
        
        
            
                
                
                    
                        12-4-0",9,176,1263,0
65,cscore_link cscore_link--button,ul#leagues > li > div > div:nth-of-type(9) > a,0,"Thu, 5/14
					
					
						Match 8
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        S. Eubanks
                        S. Eubanks
                        
                            S. Eubanks
                            
                        
                    
                    
                        (-350)
                    
                
                
                    
                        
                            5-4-0
                        
                    
                
            
        
        
            
                
                
                    
                        5-4-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        S. Moras
                        S. Moras
                        
                            S. Moras
                            
                        
                    
                    
                        (+275)
                    
                
                
                    
                        
                            6-6-0
                        
                    
                
            
        
        
            
                
                
                    
                        6-6-0",0,"Thu, 5/14
",A,/html/body/div[4]/div[2]/section/div/div/div[8]/ul/li/div/div[9]/a,A,"Thu, 5/14
					
					
						Match 8
					
				
			
			
			
			
				
					ESPN+
				
			
		

		
			
    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        S. Eubanks
                        S. Eubanks
                        
                            S. Eubanks
                            
                        
                    
                    
                        (-350)
                    
                
                
                    
                        
                            5-4-0
                        
                    
                
            
        
        
            
                
                
                    
                        5-4-0
                    
                
            
            
        
    

    
        
    
    
        
            
                
                    
                
            
            
                
                    
                        S. Moras
                        S. Moras
                        
                            S. Moras
                            
                        
                    
                    
                        (+275)
                    
                
                
                    
                        
                            6-6-0
                        
                    
                
            
        
        
            
                
                
                    
                        6-6-0",10,177,1440,0
