height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
56,navigation__login-button navigation__action-button navigation__cta,div#__next > div > div > div > div > nav > header > div > div:nth-of-type(2) > div:nth-of-type(2) > button:nth-of-type(2),0,,0,,BUTTON,/html/body/div/div/div/div/div/nav/header/div/div[2]/div[2]/button[2],BUTTON,Log In,1,55,1105,9
56,button--cta button--white Masthead__input-cta,div#masthead > div:nth-of-type(2) > div:nth-of-type(4) > button,0,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[2]/div[4]/button,BUTTON,START YOUR FREE TRIAL,2,261,469,415
14,0,div#masthead > div:nth-of-type(3) > div > div:nth-of-type(2) > div:nth-of-type(2) > div > a,0,More Details,view-ribbon-more-details,More Detai,A,/html/body/div/div/div/div/div/div/div/div[3]/div/div[2]/div[2]/div/a,A,More Details,3,83,350,663
56,button--cta button--white Ribbon__cta-button,div#masthead > div:nth-of-type(3) > div > div:nth-of-type(3) > div > div > button,0,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[3]/div/div[3]/div/div/button,BUTTON,GET BUNDLE,4,169,983,608
10,Ribbon__legal_modal,div#masthead > div:nth-of-type(3) > div > div:nth-of-type(3) > div > div:nth-of-type(2) > a,0,Terms Apply,view-ribbon-terms,Terms Appl,A,/html/body/div/div/div/div/div/div/div/div[3]/div/div[3]/div/div[2]/a,A,Terms Apply,5,59,1038,673
48,button--cta plan-card__cta plan-card__0_cta button--black ,div#plans > div > div:nth-of-type(2) > div:nth-of-type(2) > div > div:nth-of-type(4) > button,0,,0,,BUTTON,/html/body/div/div/div/div/div/div[3]/div/div[2]/div[2]/div/div[4]/button,BUTTON,TRY FOR $0,6,159,533,1494
48,button--cta plan-card__cta plan-card__1_cta button--black ,div#plans > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(4) > button,0,,0,,BUTTON,/html/body/div/div/div/div/div/div[3]/div/div[2]/div[2]/div[2]/div[4]/button,BUTTON,TRY FOR $0,7,159,708,1492
48,button--cta plan-card__cta plan-card__2_cta button--black ,div#plans > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(3) > div:nth-of-type(4) > button,0,,0,,BUTTON,/html/body/div/div/div/div/div/div[3]/div/div[2]/div[2]/div[3]/div[4]/button,BUTTON,TRY FOR $0,8,159,883,1492
16,plan-addon__info,div#plans > div > div:nth-of-type(3) > div:nth-of-type(2) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[3]/div[2]/div/div/span/a,A,,9,20,205,1681
16,plan-addon__info,div#plans > div > div:nth-of-type(3) > div:nth-of-type(6) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[3]/div[6]/div/div/span/a,A,,10,20,305,1941
16,plan-addon__info,div#plans > div > div:nth-of-type(3) > div:nth-of-type(8) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[3]/div[8]/div/div/span/a,A,,11,20,355,2071
16,plan-addon__info,div#plans > div > div:nth-of-type(3) > div:nth-of-type(9) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[3]/div[9]/div/div/span/a,A,,12,20,311,2136
16,plan-addon__info,div#plans > div > div:nth-of-type(3) > div:nth-of-type(10) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[3]/div[10]/div/div/span/a,A,,13,20,220,2225
16,plan-addon__info,div#plans > div > div:nth-of-type(5) > div:nth-of-type(2) > div:nth-of-type(5) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[5]/div[2]/div[5]/div/div/span/a,A,,14,20,290,2984
16,plan-addon__info,div#plans > div > div:nth-of-type(5) > div:nth-of-type(2) > div:nth-of-type(6) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[5]/div[2]/div[6]/div/div/span/a,A,,15,20,312,3049
16,plan-addon__info,div#plans > div > div:nth-of-type(5) > div:nth-of-type(2) > div:nth-of-type(7) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[5]/div[2]/div[7]/div/div/span/a,A,,16,20,320,3114
16,plan-addon__info,div#plans > div > div:nth-of-type(5) > div:nth-of-type(2) > div:nth-of-type(8) > div > div > span > a,0,,0,,A,/html/body/div/div/div/div/div/div[3]/div/div[5]/div[2]/div[8]/div/div/span/a,A,,17,20,271,3179
29,0,footer#FooterLg > div > div > div > div > div > div > a,0,Streaming Library,0,Streaming ,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div/a,A,Streaming Library,18,181,52,2726
29,0,footer#FooterLg > div > div > div > div > div > div > a:nth-of-type(2),0,Live TV,0,Live TV,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div/a[2],A,Live TV,19,181,52,2755
29,0,footer#FooterLg > div > div > div > div > div > div > a:nth-of-type(3),0,Live News,0,Live News,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div/a[3],A,Live News,20,181,52,2784
29,0,footer#FooterLg > div > div > div > div > div > div > a:nth-of-type(4),0,Live Sports,0,Live Sport,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div/a[4],A,Live Sports,21,181,52,2813
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(2) > a,0,TV Shows,0,TV Shows,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[2]/a,A,TV Shows,22,181,233,2726
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(2) > a:nth-of-type(2),0,Movies,0,Movies,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[2]/a[2],A,Movies,23,181,233,2755
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(2) > a:nth-of-type(3),0,Originals,0,Originals,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[2]/a[3],A,Originals,24,181,233,2784
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(2) > a:nth-of-type(4),0,Networks,0,Networks,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[2]/a[4],A,Networks,25,181,233,2813
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(2) > a:nth-of-type(5),0,Kids,0,Kids,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[2]/a[5],A,Kids,26,181,233,2842
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(2) > a:nth-of-type(6),0,FX on Hulu,0,FX on Hulu,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[2]/a[6],A,FX on Hulu,27,181,233,2871
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(3) > a,0,HBO Max™,0,HBO Max™,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[3]/a,A,HBO Max™,28,181,415,2726
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(3) > a:nth-of-type(2),0,Cinemax,0,Cinemax,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[3]/a[2],A,Cinemax,29,181,415,2755
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(3) > a:nth-of-type(3),0,Showtime,0,Showtime,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[3]/a[3],A,Showtime,30,181,415,2784
29,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(3) > a:nth-of-type(4),0,STARZ,0,STARZ,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[3]/a[4],A,STARZ,31,181,415,2813
50,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(4) > a,0,"Hulu, Disney+, and ESPN+",0,"Hulu, Disn",A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[4]/a,A,"Hulu, Disney+, and ESPN+",32,181,596,2726
50,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(4) > a:nth-of-type(2),0,Disney bundle with Hulu (No Ads),0,Disney bun,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[4]/a[2],A,Disney bundle with Hulu (No Ads),33,181,596,2776
50,0,footer#FooterLg > div > div > div > div > div > div:nth-of-type(4) > a:nth-of-type(3),0,Disney bundle with Hulu + Live TV,0,Disney bun,A,/html/body/div/div/div/div/footer/div/div/div/div/div/div[4]/a[3],A,Disney bundle with Hulu + Live TV,34,181,596,2826
29,0,footer#FooterLg > div > div > div > div:nth-of-type(2) > div > div > a,0,Account & Billing,0,Account & ,A,/html/body/div/div/div/div/footer/div/div/div/div[2]/div/div/a,A,Account & Billing,35,169,793,2726
29,0,footer#FooterLg > div > div > div > div:nth-of-type(2) > div > div > a:nth-of-type(2),0,Plans & Pricing,0,Plans & Pr,A,/html/body/div/div/div/div/footer/div/div/div/div[2]/div/div/a[2],A,Plans & Pricing,36,169,793,2755
29,0,footer#FooterLg > div > div > div > div:nth-of-type(2) > div > div > a:nth-of-type(3),0,Supported Devices,0,Supported ,A,/html/body/div/div/div/div/footer/div/div/div/div[2]/div/div/a[3],A,Supported Devices,37,169,793,2784
29,0,footer#FooterLg > div > div > div > div:nth-of-type(2) > div > div > a:nth-of-type(4),0,Accessibility,0,Accessibil,A,/html/body/div/div/div/div/footer/div/div/div/div[2]/div/div/a[4],A,Accessibility,38,169,793,2813
29,0,footer#FooterLg > div > div > div > div:nth-of-type(3) > div > div > a,0,Press,0,Press,A,/html/body/div/div/div/div/footer/div/div/div/div[3]/div/div/a,A,Press,39,169,979,2726
29,0,footer#FooterLg > div > div > div > div:nth-of-type(3) > div > div > a:nth-of-type(2),0,Jobs,0,Jobs,A,/html/body/div/div/div/div/footer/div/div/div/div[3]/div/div/a[2],A,Jobs,40,169,979,2755
29,0,footer#FooterLg > div > div > div > div:nth-of-type(3) > div > div > a:nth-of-type(3),0,Contact,0,Contact,A,/html/body/div/div/div/div/footer/div/div/div/div[3]/div/div/a[3],A,Contact,41,169,979,2784
12,0,footer#FooterLg > div > div > div:nth-of-type(2) > div > div > a,0,,0,,A,/html/body/div/div/div/div/footer/div/div/div[2]/div/div/a,A,,42,43,44,2990
12,0,footer#FooterLg > div > div > div:nth-of-type(2) > div > div > a:nth-of-type(2),0,,0,,A,/html/body/div/div/div/div/footer/div/div/div[2]/div/div/a[2],A,,43,52,87,2990
12,0,footer#FooterLg > div > div > div:nth-of-type(2) > div > div > a:nth-of-type(3),0,,0,,A,/html/body/div/div/div/div/footer/div/div/div[2]/div/div/a[3],A,,44,56,139,2990
12,0,footer#FooterLg > div > div > div:nth-of-type(2) > div > div > a:nth-of-type(4),0,,0,,A,/html/body/div/div/div/div/footer/div/div/div[2]/div/div/a[4],A,,45,18,195,2990
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(2) > a,0,About Ads,0,About Ads,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[2]/a,A,About Ads,46,78,178,3044
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(3) > a,0,Terms of Use,0,Terms of U,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[3]/a,A,Terms of Use,47,74,288,3044
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(4) > a,0,Privacy Policy,0,Privacy Po,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[4]/a,A,Privacy Policy,48,79,394,3044
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(5) > a,0,Do Not Sell My Personal Information,0,Do Not Sel,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[5]/a,A,Do Not Sell My Personal Information,49,206,504,3044
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(6) > a,0,Your California Privacy Rights,0,Your Calif,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[6]/a,A,Your California Privacy Rights,50,168,743,3044
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(7) > a,0,TV Parental Guidelines,0,TV Parenta,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[7]/a,A,TV Parental Guidelines,51,129,943,3044
32,footer--legal-link,footer#FooterLg > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(8) > a,0,Sitemap,0,Sitemap,A,/html/body/div/div/div/div/footer/div/div/div[2]/div[2]/div[8]/a,A,Sitemap,52,48,1104,3044
