height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
32,sc-bdVaJa cdGkjh imdb-header__logo-link,a#home_img_holder,home_img_holder,,0,,A,/html/body/div/nav/div[2]/a,A,,1,64,100,12
36,ipc-button ipc-button--single-padding ipc-button--default-height ipc-button--core-baseAlt ipc-button--on-textPrimary ipc-text-button navbar__flyout__text-button-after-mobile navbar__imdb-tv--toggle,nav#imdbHeader > div:nth-of-type(2) > div > a,0,,0,,A,/html/body/div/nav/div[2]/div/a,A,,2,83,262,10
31,imdb-header-search__input _3gDVKsXm3b_VAMhhSw1haV react-autosuggest__input,input#suggestion-search,suggestion-search,,q,,INPUT,/html/body/div/nav/div[2]/div[2]/form/div[2]/div/input,INPUT,,3,333,405,12
25,nav-search__search-submit _1-XI3_I8iwubPnQ1mmvW97,button#suggestion-search-button,suggestion-search-button,,0,,BUTTON,/html/body/div/nav/div[2]/div[2]/form/button,BUTTON,,4,32,756,15
36,ipc-button ipc-button--single-padding ipc-button--default-height ipc-button--core-baseAlt ipc-button--on-textPrimary ipc-text-button navbar__flyout__text-button-after-mobile navbar__imdb-pro--toggle,nav#imdbHeader > div:nth-of-type(2) > div:nth-of-type(3) > div > a,0,,0,,A,/html/body/div/nav/div[2]/div[3]/div/a,A,,5,88,804,10
36,ipc-button ipc-button--single-padding ipc-button--default-height ipc-button--core-baseAlt ipc-button--on-textPrimary ipc-text-button,nav#imdbHeader > div:nth-of-type(2) > div:nth-of-type(5) > a,0,Watchlist,0,Watchlist,A,/html/body/div/nav/div[2]/div[5]/a,A,Watchlist,6,113,910,10
36,ipc-button ipc-button--single-padding ipc-button--default-height ipc-button--core-baseAlt ipc-button--on-textPrimary ipc-text-button imdb-header__signin-text,nav#imdbHeader > div:nth-of-type(2) > div:nth-of-type(6) > a,0,Sign In,0,Sign In,A,/html/body/div/nav/div[2]/div[6]/a,A,Sign In,7,78,1022,10
298,video-modal,div#main > div > span > div > div > div > div > div > div > div > div > div > a,0,,0,,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/div/div/div/div/div/div/div/div/a,A,,8,201,116,76
18,0,div#main > div > span > div > div > div > div > div > div > div > div > div > div > div > div > a,0,'Tenet',0,'Tenet',A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/div/div/div/div/div/div/div/div/div/div/div/a,A,'Tenet',9,49,124,333
298,video-modal,div#main > div > span > div > div > div > div > div > div:nth-of-type(3) > div > div > div > a,0,,0,,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/div/div/div/div/div[3]/div/div/div/a,A,,10,201,329,76
35,0,div#main > div > span > div > div > div > div > div > div:nth-of-type(3) > div > div > div > div > div > div > a,0,By the Numbers: Golden Globes,0,By the Num,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/div/div/div/div/div[3]/div/div/div/div/div/div/a,A,By the Numbers: Golden Globes,11,129,337,315
298,video-modal,div#main > div > span > div > div > div > div > div > div:nth-of-type(5) > div > div > div > a,0,,0,,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/div/div/div/div/div[5]/div/div/div/a,A,,12,201,541,76
35,0,div#main > div > span > div > div > div > div > div > div:nth-of-type(5) > div > div > div > div > div > div > a,0,Aldis Hodge's Intense 'Clemency' Research,0,Aldis Hodg,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/div/div/div/div/div[5]/div/div/div/div/div/div/a,A,Aldis Hodge's Intense 'Clemency' Research,13,163,549,315
16,position_bottom supplemental,div#main > div > span > div > p > a,0,Browse trailers,0,Browse tra,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div/span/div/p/a,A,Browse trailers,14,98,116,381
34,0,div#main > div:nth-of-type(2) > span > div > p > i > a,0,Star Wars: Episode IX - The Rise of Skywalker,0,Star Wars:,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div[2]/span/div/p/i/a,A,Star Wars: Episode IX - The Rise of Skywalker,15,605,116,483
352,video-modal,div#main > div:nth-of-type(2) > span > div > div > div > div > div > div > div > div > div > div > a,0,,0,,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div[2]/span/div/div/div/div/div/div/div/div/div/div/a,A,,16,626,116,528
18,0,div#main > div:nth-of-type(2) > span > div > div > div > div > div > div > div > div > div > div > div > div > div > a,0,Daisy Ridley Opens Up About Rey's Journey Through 'Rise of Skywalker',0,Daisy Ridl,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div[2]/span/div/div/div/div/div/div/div/div/div/div/div/div/div/a,A,Daisy Ridley Opens Up About Rey's Journey Through 'Rise of Skywalker',17,544,124,855
352,video-modal,div#main > div:nth-of-type(2) > span > div > div > div > div > div > div > div:nth-of-type(2) > div > div > div > a,0,,0,,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div[2]/span/div/div/div/div/div/div/div[2]/div/div/div/a,A,,18,626,742,528
18,0,div#main > div:nth-of-type(2) > span > div > div > div > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > a,0,'Star Wars' Cast Reveal Their Biggest 'Rise of Skywalker' Challenges,0,'Star Wars,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div[2]/span/div/div/div/div/div/div/div[2]/div/div/div/div/div/div/a,A,'Star Wars' Cast Reveal Their Biggest 'Rise of Skywalker' Challenges,19,514,750,855
352,video-modal,div#main > div:nth-of-type(2) > span > div > div > div > div > div > div > div:nth-of-type(3) > div > div > div > a,0,,0,,A,/html/body/div[2]/div/div[2]/div[3]/div/div/div[2]/span/div/div/div/div/div/div/div[3]/div/div/div/a,A,,20,626,1368,528
