height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
28,_5f5mN       jIbKX KUBKM      yZn4P   ,span#react-root > section > main > article > div:nth-of-type(2) > div > div > form > span > button,0,,0,,BUTTON,/html/body/span/section/main/article/div[2]/div/div/form/span/button,BUTTON,Log in with Facebook,1,268,668,196
36,_2hvTZ pexuQ zyHYP,input#fa5ef48d4f271e8,fa5ef48d4f271e8,,emailOrPhone,,INPUT,/html/body/span/section/main/article/div[2]/div/div/form/div[2]/div/div/input,INPUT,,2,258,669,276
36,_2hvTZ pexuQ zyHYP,input#f19715b3ba0c387,f19715b3ba0c387,,fullName,,INPUT,/html/body/span/section/main/article/div[2]/div/div/form/div[3]/div/div/input,INPUT,,3,258,669,320
36,_2hvTZ pexuQ zyHYP,input#f30fdf696b86eb,f30fdf696b86eb,,username,,INPUT,/html/body/span/section/main/article/div[2]/div/div/form/div[4]/div/div/input,INPUT,,4,258,669,364
36,_2hvTZ pexuQ zyHYP,input#f8865b29a5f607,f8865b29a5f607,,password,,INPUT,/html/body/span/section/main/article/div[2]/div/div/form/div[5]/div/div/input,INPUT,,5,258,669,408
28,_5f5mN       jIbKX KUBKM      yZn4P   ,span#react-root > section > main > article > div:nth-of-type(2) > div > div > form > div:nth-of-type(6) > span > button,0,,0,,BUTTON,/html/body/span/section/main/article/div[2]/div/div/form/div[6]/span/button,BUTTON,Sign up,6,268,668,459
17,0,span#react-root > section > main > article > div:nth-of-type(2) > div > div > form > p > a,0,Terms,0,Terms,A,/html/body/span/section/main/article/div[2]/div/div/form/p/a,A,Terms,7,42,696,524
17,0,span#react-root > section > main > article > div:nth-of-type(2) > div > div > form > p > a:nth-of-type(2),0,Data Policy,0,Data Polic,A,/html/body/span/section/main/article/div[2]/div/div/form/p/a[2],A,Data Policy,8,76,746,524
35,0,span#react-root > section > main > article > div:nth-of-type(2) > div > div > form > p > a:nth-of-type(3),0,Cookies Policy,0,Cookies Po,A,/html/body/span/section/main/article/div[2]/div/div/form/p/a[3],A,Cookies Policy,9,128,780,524
17,0,span#react-root > section > main > article > div:nth-of-type(2) > div:nth-of-type(2) > p > a,0,Log in,0,Log in,A,/html/body/span/section/main/article/div[2]/div[2]/p/a,A,Log in,10,39,842,637
44,z1VUo,span#react-root > section > main > article > div:nth-of-type(2) > div:nth-of-type(3) > div > a,0,,0,,A,/html/body/span/section/main/article/div[2]/div[3]/div/a,A,,11,136,663,738
44,z1VUo,span#react-root > section > main > article > div:nth-of-type(2) > div:nth-of-type(3) > div > a:nth-of-type(2),0,,0,,A,/html/body/span/section/main/article/div[2]/div[3]/div/a[2],A,,12,134,807,738
14,l93RR,span#react-root > section > footer > div > nav > ul > li > a,0,About us,0,About us,A,/html/body/span/section/footer/div/nav/ul/li/a,A,About us,13,63,133,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(2) > a,0,Support,0,Support,A,/html/body/span/section/footer/div/nav/ul/li[2]/a,A,Support,14,58,212,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(3) > a,0,Blog,0,Blog,A,/html/body/span/section/footer/div/nav/ul/li[3]/a,A,Blog,15,33,286,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(4) > a,0,Press,0,Press,A,/html/body/span/section/footer/div/nav/ul/li[4]/a,A,Press,16,39,335,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(5) > a,0,API,0,API,A,/html/body/span/section/footer/div/nav/ul/li[5]/a,A,API,17,20,391,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(6) > a,0,Jobs,0,Jobs,A,/html/body/span/section/footer/div/nav/ul/li[6]/a,A,Jobs,18,32,427,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(7) > a,0,Privacy,0,Privacy,A,/html/body/span/section/footer/div/nav/ul/li[7]/a,A,Privacy,19,52,475,876
14,l93RR _vfM2,span#react-root > section > footer > div > nav > ul > li:nth-of-type(8) > a,0,Terms,0,Terms,A,/html/body/span/section/footer/div/nav/ul/li[8]/a,A,Terms,20,42,544,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(9) > a,0,Directory,0,Directory,A,/html/body/span/section/footer/div/nav/ul/li[9]/a,A,Directory,21,70,602,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(10) > a,0,Profiles,0,Profiles,A,/html/body/span/section/footer/div/nav/ul/li[10]/a,A,Profiles,22,59,687,876
14,l93RR,span#react-root > section > footer > div > nav > ul > li:nth-of-type(11) > a,0,Hashtags,0,Hashtags,A,/html/body/span/section/footer/div/nav/ul/li[11]/a,A,Hashtags,23,67,762,876
18,hztqj,span#react-root > section > footer > div > nav > ul > li:nth-of-type(12) > span > select,0,,0,,SELECT,/html/body/span/section/footer/div/nav/ul/li[12]/span/select,SELECT,AfrikaansČeštinaDanskDeutschΕλληνικάEnglishEspañol (España)EspañolSuomiFrançaisBahasa IndonesiaItaliano日本語한국어Bahasa MelayuNorskNederlandsPolskiPortuguês (Brasil)Português (Portugal)РусскийSvenskaภาษาไทยFilipinoTürkçe中文(简体)中文(台灣)বাংলাગુજરાતીहिन्दीHrvatskiMagyarಕನ್ನಡമലയാളംमराठीनेपालीਪੰਜਾਬੀසිංහලSlovenčinaதமிழ்తెలుగుTiếng Việt中文(香港)БългарскиFrançais (Canada)RomânăСрпскиУкраїнська,24,67,845,874
