height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
19,0,html > body > div > p > a,0,Cookie Policy,0,Cookie Pol,A,/html/body/div/p/a,A,Cookie Policy,1,102,940,15
34,nav__logo-link,html > body > nav > a,0,LinkedIn,0,LinkedIn,A,/html/body/nav/a,A,LinkedIn,2,135,36,63
32,nav__button-tertiary,html > body > nav > a:nth-of-type(2),0,Join now,0,Join now,A,/html/body/nav/a[2],A,Join now,3,83,974,64
40,nav__button-secondary,html > body > nav > a:nth-of-type(3),0,Sign in,0,Sign in,A,/html/body/nav/a[3],A,Sign in,4,99,1065,60
48,input__field input__field--with-label,html > body > nav > section:nth-of-type(2) > form > div > div > input,0,,session_key,,INPUT,/html/body/nav/section[2]/form/div/div/input,INPUT,,5,288,860,218
48,input__field input__field--with-label,html > body > nav > section:nth-of-type(2) > form > div > div:nth-of-type(2) > input,0,,session_password,,INPUT,/html/body/nav/section[2]/form/div/div[2]/input,INPUT,,6,222,860,278
20,sign-in-form__forgot-password,html > body > nav > section:nth-of-type(2) > form > div:nth-of-type(2) > a,0,Forgot password?,0,Forgot pas,A,/html/body/nav/section[2]/form/div[2]/a,A,Forgot password?,7,136,860,356
48,sign-in-form__submit-btn,html > body > nav > section:nth-of-type(2) > form > div:nth-of-type(2) > button,0,,0,,BUTTON,/html/body/nav/section[2]/form/div[2]/button,BUTTON,Sign in,8,110,1038,342
48,sign-in-card__dismiss-btn,html > body > nav > section:nth-of-type(2) > button,0,,0,,BUTTON,/html/body/nav/section[2]/button,BUTTON,,9,48,1112,120
56,search__placeholder--search search-input,html > body > main > section > section > div > button,0,,0,,BUTTON,/html/body/main/section/section/div/button,BUTTON,"Find jobs, people, and more",10,408,36,456
56,pill,html > body > main > section:nth-of-type(2) > div > div:nth-of-type(2) > div > div > ul > li > a,0,Sales,0,Sales,A,/html/body/main/section[2]/div/div[2]/div/div/ul/li/a,A,Sales,11,90,520,952
