height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
48,c-action-trigger c-glyph glyph-cancel,div#uhfCookieAlert > div > button,0,,0,,BUTTON,/html/body/div/div/div/div/div/button,BUTTON,,1,48,1151,0
28,c-action-trigger,div#uhfCookieAlert > div > div > p > span > a,0,Erfahren Sie mehr,0,Erfahren S,A,/html/body/div/div/div/div/div/div/p/span/a,A,Erfahren Sie mehr,2,110,1041,10
48,m-skip-to-main,a#uhfSkipToMain,uhfSkipToMain,Zu Hauptinhalt springen,0,Zu Hauptin,A,/html/body/div/div/div/a,A,Zu Hauptinhalt springen,3,1,-999,52
54,c-logo c-sgl-stk-uhfLogo,a#uhfLogo,uhfLogo,Microsoft,0,Microsoft,A,/html/body/div/div/div/header/div/div/a,A,Microsoft,4,137,60,53
48,c-uhf-nav-link,a#shellmenu_0,shellmenu_0,Office,0,Office,A,/html/body/div/div/div/header/div/div/nav/ul/li/a,A,Office,5,52,198,53
48,c-uhf-nav-link,a#shellmenu_1,shellmenu_1,Windows,0,Windows,A,/html/body/div/div/div/header/div/div/nav/ul/li[2]/a,A,Windows,6,71,253,53
48,c-uhf-nav-link,a#shellmenu_2,shellmenu_2,Surface,0,Surface,A,/html/body/div/div/div/header/div/div/nav/ul/li[3]/a,A,Surface,7,60,328,53
48,c-uhf-nav-link,a#shellmenu_3,shellmenu_3,Xbox,0,Xbox,A,/html/body/div/div/div/header/div/div/nav/ul/li[4]/a,A,Xbox,8,47,392,53
48,c-uhf-nav-link,a#shellmenu_4,shellmenu_4,Sonderangebote,0,Sonderange,A,/html/body/div/div/div/header/div/div/nav/ul/li[5]/a,A,Sonderangebote,9,114,442,53
48,c-uhf-nav-link,a#l1_support,l1_support,Support,0,Support,A,/html/body/div/div/div/header/div/div/nav/ul/li[6]/a,A,Support,10,64,559,53
52,c-button-logo all-ms-nav,nav#uhf-c-nav > ul > li > div > button,0,,0,,BUTTON,/html/body/div/div/div/header/div/div/div[2]/div/nav/ul/li/div/button,BUTTON,Alles von Microsoft,11,147,840,53
43,c-glyph,button#search,search,,0,,BUTTON,/html/body/div/div/div/header/div/div/div[2]/form/button,BUTTON,Suchen,12,36,1011,55
47,c-action-trigger c-glyph c-uhf-nav-link glyph-shopping-cart,a#uhf-shopping-cart,uhf-shopping-cart,"0
			Warenkorb",0,"0
			Waren",A,/html/body/div/div/div/header/div/div/div[2]/a,A,"0
			Warenkorb",13,16,1060,52
48,mectrl_resetStyle mectrl_trigger,a#mectrl_main_trigger,mectrl_main_trigger,,0,,A,/html/body/div/div/div/header/div/div/div[2]/div[2]/div/a,A,,14,54,1086,53
14,0,div#coreui-hero-q4ifivk > div > div > div > div > button,0,,0,,BUTTON,/html/body/section/div/div/div/div/div/div/button,BUTTON,,15,16,553,474
14,f-active,div#coreui-hero-q4ifivk > div > div > div > div > button:nth-of-type(2),0,,0,,BUTTON,/html/body/section/div/div/div/div/div/div/button[2],BUTTON,,16,16,569,474
40,c-action-toggle c-glyph f-toggle glyph-pause,div#coreui-hero-q4ifivk > div > div > div > button,0,,0,,BUTTON,/html/body/section/div/div/div/div/div/button,BUTTON,,17,40,597,461
44,c-flipper f-previous,div#coreui-hero-q4ifivk > div > div > button,0,,0,,BUTTON,/html/body/section/div/div/div/div/button,BUTTON,,18,44,60,286
44,c-flipper f-next,div#coreui-hero-q4ifivk > div > div > button:nth-of-type(2),0,,0,,BUTTON,/html/body/section/div/div/div/div/button[2],BUTTON,,19,44,1096,286
40,c-call-to-action c-glyph,li#coreui-hero-q4ifivk-item-2 > section > div > div > div:nth-of-type(2) > a,0,JETZT KAUFEN,0,JETZT KAUF,A,/html/body/section/div/div/div/div/div[2]/ul/li[2]/section/div/div/div[2]/a,A,JETZT KAUFEN,20,168,127,254
41,c-call-to-action c-glyph,div#coreui-contentplacement-92ym2zt > div > div > div > div > section > a,0,JETZT KAUFEN,0,JETZT KAUF,A,/html/body/section/div[2]/div/div/div/div/div/section/a,A,JETZT KAUFEN,21,129,60,853
