height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
1,m-skip-to-main,a#uhfSkipToMain,uhfSkipToMain,Skip to main content,0,Skip to ma,A,/html/body/div[2]/div/div/div/div/div/div/a,A,Skip to main content,1,1,-999,0
54,c-logo c-sgl-stk-uhfLogo,a#uhfLogo,uhfLogo,Microsoft,0,Microsoft,A,/html/body/div[2]/div/div/div/div/div/div/header/div/div/a,A,Microsoft,2,137,60,1
54,c-logo c-cat-logo,a#uhfCatLogo,uhfCatLogo,Office,0,Office,A,/html/body/div[2]/div/div/div/div/div/div/header/div/div/div[2]/a,A,Office,3,65,215,1
52,0,button#Products,Products,,0,,BUTTON,/html/body/div[2]/div/div/div/div/div/div/header/div/div/nav/ul/li[2]/div/button,BUTTON,Products,4,94,281,1
52,0,button#resources,resources,,0,,BUTTON,/html/body/div[2]/div/div/div/div/div/div/header/div/div/nav/ul/li[3]/div/button,BUTTON,Resources,5,102,369,1
48,c-uhf-nav-link,a#c-shellmenu_33,c-shellmenu_33,Templates,0,Templates,A,/html/body/div[2]/div/div/div/div/div/div/header/div/div/nav/ul/li[4]/a,A,Templates,6,77,464,1
48,c-uhf-nav-link,a#support,support,Support,0,Support,A,/html/body/div[2]/div/div/div/div/div/div/header/div/div/nav/ul/li[5]/a,A,Support,7,64,545,1
48,c-uhf-nav-link,a#My account,My account,My account,0,My account,A,/html/body/div[2]/div/div/div/div/div/div/header/div/div/nav/ul/li[6]/a,A,My account,8,85,612,1
31,c-uhf-nav-link,li#c-uhf-nav-cta > a,0,Buy Office 365,0,Buy Office,A,/html/body/div[2]/div/div/div/div/div/div/header/div/div/nav/ul/li[8]/a,A,Buy Office 365,9,104,711,11
52,c-button-logo all-ms-nav,nav#uhf-c-nav > ul > li > div > button,0,,0,,BUTTON,/html/body/div[2]/div/div/div/div/div/div/header/div/div/div[4]/div/nav/ul/li/div/button,BUTTON,All Microsoft,10,110,948,1
48,button hero__button text--medium,a#hero-banner-get-office-link,hero-banner-get-office-link,Get Office,0,Get Office,A,/html/body/div[2]/div/div[2]/div/div/ul/li/a,A,Get Office,11,158,432,328
48,text--medium button hero__button hero__button--alternative text--medium,a#hero-banner-sign-in-to-office-365-link,hero-banner-sign-in-to-office-365-link,Sign in,0,Sign in,A,/html/body/div[2]/div/div[2]/div/div/ul/li[2]/a,A,Sign in,12,158,610,328
48,hero__scroll-button fade,button#scroll-button,scroll-button,,0,,BUTTON,/html/body/div[2]/div/div[2]/div/button,BUTTON,,13,48,576,474
20,button get-office-today__button text--medium,a#get-office-today-for-home-link,get-office-today-for-home-link,For home,0,For home,A,/html/body/div[2]/div/div[2]/div[3]/ul/li/a,A,For home,14,84,430,2532
20,button get-office-today__button text--medium,a#get-office-today-for-business-link,get-office-today-for-business-link,For business,0,For busine,A,/html/body/div[2]/div/div[2]/div[3]/ul/li[2]/a,A,For business,15,103,534,2532
20,button get-office-today__button text--medium,a#get-office-today-edu-link,get-office-today-edu-link,For education,0,For educat,A,/html/body/div[2]/div/div[2]/div[3]/ul/li[3]/a,A,For education,16,113,658,2532
48,social-media__link,a#social-media-office-blogs-link,social-media-office-blogs-link,Office blogs,0,Office blo,A,/html/body/div[2]/div/div[2]/div[4]/div/a[5],A,Office blogs,17,88,254,2600
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li > a,0,NEW Surface Pro 6,0,NEW Surfac,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li/a,A,NEW Surface Pro 6,18,91,60,2717
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(2) > a,0,NEW Surface Laptop 2,0,NEW Surfac,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[2]/a,A,NEW Surface Laptop 2,19,109,60,2749
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(3) > a,0,NEW Surface Go,0,NEW Surfac,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[3]/a,A,NEW Surface Go,20,80,60,2781
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(4) > a,0,Xbox One X,0,Xbox One X,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[4]/a,A,Xbox One X,21,57,60,2813
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(5) > a,0,Xbox One S,0,Xbox One S,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[5]/a,A,Xbox One S,22,57,60,2845
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(6) > a,0,VR & mixed reality,0,VR & mixed,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[6]/a,A,VR & mixed reality,23,90,60,2877
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(7) > a,0,Windows 10 apps,0,Windows 10,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[7]/a,A,Windows 10 apps,24,86,60,2909
15,c-uhff-link,footer#uhf-footer > nav > div > div > ul > li:nth-of-type(8) > a,0,Office apps,0,Office app,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div/ul/li[8]/a,A,Office apps,25,55,60,2941
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li > a,0,Account profile,0,Account pr,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li/a,A,Account profile,26,74,252,2717
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,0,Download Center,0,Download C,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li[2]/a,A,Download Center,27,85,252,2749
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li:nth-of-type(3) > a,0,Microsoft Store support,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li[3]/a,A,Microsoft Store support,28,116,252,2781
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li:nth-of-type(4) > a,0,Returns,0,Returns,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li[4]/a,A,Returns,29,37,252,2813
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li:nth-of-type(5) > a,0,Order tracking,0,Order trac,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li[5]/a,A,Order tracking,30,70,252,2845
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li:nth-of-type(6) > a,0,Store locations,0,Store loca,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li[6]/a,A,Store locations,31,72,252,2877
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(2) > ul > li:nth-of-type(7) > a,0,"Buy online, pick up in store",0,Buy online,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[2]/ul/li[7]/a,A,"Buy online, pick up in store",32,131,252,2909
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(3) > ul > li > a,0,Microsoft in education,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[3]/ul/li/a,A,Microsoft in education,33,109,432,2717
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(3) > ul > li:nth-of-type(2) > a,0,Office for students,0,Office for,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[3]/ul/li[2]/a,A,Office for students,34,90,432,2749
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(3) > ul > li:nth-of-type(3) > a,0,Office 365 for schools,0,Office 365,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[3]/ul/li[3]/a,A,Office 365 for schools,35,105,432,2781
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(3) > ul > li:nth-of-type(4) > a,0,Deals for students & parents,0,Deals for ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[3]/ul/li[4]/a,A,Deals for students & parents,36,139,432,2813
15,c-uhff-link,footer#uhf-footer > nav > div > div:nth-of-type(3) > ul > li:nth-of-type(5) > a,0,Microsoft Azure in education,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div/div[3]/ul/li[5]/a,A,Microsoft Azure in education,37,140,432,2845
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li > a,0,Microsoft Azure,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li/a,A,Microsoft Azure,38,77,600,2717
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(2) > a,0,Microsoft Industry,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[2]/a,A,Microsoft Industry,39,89,600,2749
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(3) > a,0,Data platform,0,Data platf,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[3]/a,A,Data platform,40,67,600,2781
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(4) > a,0,Find a solution provider,0,Find a sol,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[4]/a,A,Find a solution provider,41,115,600,2813
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(5) > a,0,Microsoft partner resources,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[5]/a,A,Microsoft partner resources,42,134,600,2845
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(6) > a,0,Microsoft AppSource,0,Microsoft ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[6]/a,A,Microsoft AppSource,43,102,600,2877
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(7) > a,0,Health,0,Health,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[7]/a,A,Health,44,32,600,2909
15,c-uhff-link,footer#uhf-footer > nav > div:nth-of-type(2) > div > ul > li:nth-of-type(8) > a,0,Financial services,0,Financial ,A,/html/body/div[2]/div/div[3]/div/div/div/div/footer/nav/div[2]/div/ul/li[8]/a,A,Financial services,45,83,600,2941
