height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
1,visually-hidden focusable skip-link,html > body > a,0,Skip to main content,0,Skip to ma,A,/html/body/a,A,Skip to main content,1,1,0,0
24,0,div#homepage-top-promo > div > div > div > div:nth-of-type(3) > p > a,0,Watch Okta Showcase on-demand,0,Watch Okta,A,/html/body/div/div/header/div/div/div/div/div/div[3]/p/a,A,Watch Okta Showcase on-demand,2,265,706,11
42,logo__link,html > body > div > div > header > div:nth-of-type(2) > div > div > a,0,,0,,A,/html/body/div/div/header/div[2]/div/div/a,A,,3,98,15,65
49,0,nav#block-mainnavigation > div > ul > li > a,0,Solutions,0,Solutions,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li/a,A,Solutions,4,86,158,74
49,0,nav#block-mainnavigation > div > ul > li:nth-of-type(2) > a,0,Products,0,Products,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li[2]/a,A,Products,5,84,260,74
49,0,nav#block-mainnavigation > div > ul > li:nth-of-type(3) > a,0,Developers,0,Developers,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li[3]/a,A,Developers,6,100,359,74
49,0,nav#block-mainnavigation > div > ul > li:nth-of-type(4) > a,0,Services,0,Services,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li[4]/a,A,Services,7,80,474,74
49,0,nav#block-mainnavigation > div > ul > li:nth-of-type(5) > a,0,Resources,0,Resources,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li[5]/a,A,Resources,8,95,569,74
49,0,nav#block-mainnavigation > div > ul > li:nth-of-type(6) > a,0,Company,0,Company,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li[6]/a,A,Company,9,87,679,74
49,0,nav#block-mainnavigation > div > ul > li:nth-of-type(7) > a,0,Contact Sales,0,Contact Sa,A,/html/body/div/div/header/div[2]/div[2]/nav/div/ul/li[7]/a,A,Contact Sales,10,122,781,74
42,ods-button is-ods-button-green okta-free-trial__cta,html > body > div > div > header > div:nth-of-type(2) > div:nth-of-type(3) > div > a,0,Try Okta,0,Try Okta,A,/html/body/div/div/header/div[2]/div[3]/div/a,A,Try Okta,11,102,923,65
42,ods-button is-ods-button-secondary,a#myokta-signin,myokta-signin,Sign In,0,Sign In,A,/html/body/div/div/header/div[2]/div[3]/div[2]/a,A,Sign In,12,88,1041,65
24,header__search,button#searchToggle,searchToggle,,0,,BUTTON,/html/body/div/div/header/div[2]/button,BUTTON,,13,24,1145,74
43,0,div#searchbox > div > div > input,0,,0,,INPUT,/html/body/div/div/div/div/div/div/div/div/input,INPUT,,14,754,156,66
