height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
44,mobile-speedbump-close,section#mobile-speedbump > div > button,0,,0,,BUTTON,/html/body/section/div/button,BUTTON,Dismiss,1,44,-17,-23
44,internal,section#mobile-speedbump > div > div > ul > li > a,0,Download Outlook for iOS,0,Download O,A,/html/body/section/div/div/ul/li/a,A,Download Outlook for iOS,2,138,1,283
44,internal,section#mobile-speedbump > div > div > ul > li:nth-of-type(2) > a,0,Download Outlook for Android,0,Download O,A,/html/body/section/div/div/ul/li[2]/a,A,Download Outlook for Android,3,138,1,347
48,internal,html > body > header > div > div > div:nth-of-type(2) > div > div > div > a,0,Create free account,0,Create fre,A,/html/body/header/div/div/div[2]/div/div/div/a,A,Create free account,4,418,680,519
22,0,html > body > header > div > aside > div > mark > a,0,Microsoft,0,Microsoft,A,/html/body/header/div/aside/div/mark/a,A,Microsoft,5,104,102,18
37,0,html > body > header > div > aside > div > nav > ul > li > a,0,Try premium,0,Try premiu,A,/html/body/header/div/aside/div/nav/ul/li/a,A,Try premium,6,146,838,11
37,internal sign-in-link,html > body > header > div > aside > div > nav > ul > li:nth-of-type(2) > a,0,Sign in,0,Sign in,A,/html/body/header/div/aside/div/nav/ul/li[2]/a,A,Sign in,7,104,994,11
44,0,html > body > main > aside > div > div > div:nth-of-type(2) > ul > li > a,0,Try premium,0,Try premiu,A,/html/body/main/aside/div/div/div[2]/ul/li/a,A,Try premium,8,146,633,-56
44,internal sign-in-link,html > body > main > aside > div > div > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,0,Sign in,0,Sign in,A,/html/body/main/aside/div/div/div[2]/ul/li[2]/a,A,Sign in,9,104,789,-56
44,internal,html > body > main > aside > div > div > div:nth-of-type(2) > ul > li:nth-of-type(3) > a,0,Create free account,0,Create fre,A,/html/body/main/aside/div/div/div[2]/ul/li[3]/a,A,Create free account,10,195,903,-56
75,internal,html > body > main > section:nth-of-type(6) > div:nth-of-type(2) > div > div > div > mark > a,0,Create free account,0,Create fre,A,/html/body/main/section[6]/div[2]/div/div/div/mark/a,A,Create free account,11,331,434,9662
52,0,html > body > main > aside:nth-of-type(3) > div > div:nth-of-type(2) > div > div > p > a,0,Learn about premium Outlook features that come with Office 365,0,Learn abou,A,/html/body/main/aside[3]/div/div[2]/div/div/p/a,A,Learn about premium Outlook features that come with Office 365,12,429,99,10717
24,0,html > body > nav > div > ul > li > a,0,Support,0,Support,A,/html/body/nav/div/ul/li/a,A,Support,13,64,340,11256
24,internal,html > body > nav > div > ul > li:nth-of-type(2) > a,0,Create free account,0,Create fre,A,/html/body/nav/div/ul/li[2]/a,A,Create free account,14,154,459,11256
24,0,html > body > nav > div > ul > li:nth-of-type(3) > a,0,Upgrade to premium,0,Upgrade to,A,/html/body/nav/div/ul/li[3]/a,A,Upgrade to premium,15,167,668,11256
24,app ios internal,html > body > nav > div > ul:nth-of-type(2) > li > a,0,Outlook for iOS,0,Outlook fo,A,/html/body/nav/div/ul[2]/li/a,A,Outlook for iOS,16,146,396,11330
24,app android internal,html > body > nav > div > ul:nth-of-type(2) > li:nth-of-type(2) > a,0,Outlook for Android,0,Outlook fo,A,/html/body/nav/div/ul[2]/li[2]/a,A,Outlook for Android,17,182,597,11330
20,0,html > body > footer > div > div > figure > a,0,Microsoft,0,Microsoft,A,/html/body/footer/div/div/figure/a,A,Microsoft,18,87,102,11589
16,0,html > body > footer > div > div > div > ul > li > a,0,Privacy & cookies,0,Privacy & ,A,/html/body/footer/div/div/div/ul/li/a,A,Privacy & cookies,19,101,637,11591
16,0,html > body > footer > div > div > div > ul > li:nth-of-type(2) > a,0,Terms of use,0,Terms of u,A,/html/body/footer/div/div/div/ul/li[2]/a,A,Terms of use,20,72,758,11591
16,0,html > body > footer > div > div > div > ul > li:nth-of-type(3) > a,0,About our ads,0,About our ,A,/html/body/footer/div/div/div/ul/li[3]/a,A,About our ads,21,82,850,11591
16,0,html > body > footer > div > div > div > ul > li:nth-of-type(4) > a,0,Trademarks,0,Trademarks,A,/html/body/footer/div/div/div/ul/li[4]/a,A,Trademarks,22,66,952,11591
16,0,html > body > footer > div > div > div > ul > li:nth-of-type(5) > a,0,Contact us,0,Contact us,A,/html/body/footer/div/div/div/ul/li[5]/a,A,Contact us,23,61,1037,11591
