height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
43,paypal-img-logo,div#body > header > div > div > a:nth-of-type(2),0,PayPal,0,PayPal,A,/html/body/div/header/div/div/a[2],A,PayPal,1,136,25,13
67,0,a#header-personal,header-personal,Personal,0,Personal,A,/html/body/div/header/div/div/nav/ul/li/a,A,Personal,2,111,326,3
67,0,a#header-business,header-business,Business,0,Business,A,/html/body/div/header/div/div/nav/ul/li[2]/a,A,Business,3,105,437,3
67,desktop-only,a#header-send,header-send,Send,0,Send,A,/html/body/div/header/div/div/nav/ul/li[3]/a,A,Send,4,67,546,3
67,desktop-only,a#header-request,header-request,Request,0,Request,A,/html/body/div/header/div/div/nav/ul/li[4]/a,A,Request,5,92,617,3
67,desktop-only,a#header-help,header-help,Help,0,Help,A,/html/body/div/header/div/div/nav/ul/li[5]/a,A,Help,6,66,713,3
67,languageMenu,nav#main-menu > ul > li:nth-of-type(6) > a,0,"Fr

            
                Français",0,"Fr

      ",A,/html/body/div/header/div/div/nav/ul/li[6]/a,A,"Fr

            
                Français",7,47,783,3
36,btn btn-small btn-secondary,a#ul-btn,ul-btn,Log In,0,Log In,A,/html/body/div/header/div/div/div/a,A,Log In,8,84,972,18
36,btn btn-small btn-signup,a#signup-button,signup-button,Sign Up,0,Sign Up,A,/html/body/div/header/div/div/div/a[2],A,Sign Up,9,84,1068,18
51,btn heroBtn span8 col-sm-8 ,div#main > div > div > ul > li > section > div:nth-of-type(2) > div > div > a,0,Find Out More,0,Find Out M,A,/html/body/div/div/div/div/ul/li/section/div[2]/div/div/a,A,Find Out More,10,350,-1164,367
51,btn btn-white-border span8 col-sm-8,div#main > div > div > ul > li > section > div:nth-of-type(2) > div > div > p:nth-of-type(2) > a,0,Sign up for Free,0,Sign up fo,A,/html/body/div/div/div/div/ul/li/section/div[2]/div/div/p[2]/a,A,Sign up for Free,11,350,-1164,437
