height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
40,mh-header-primary svelte-18o1xvt,html > body > div:nth-of-type(2) > div > header > div > div > a,0,Spotify,0,Spotify,A,/html/body/div[2]/div/header/div/div/a,A,Spotify,1,132,30,20
80,mh-header-primary svelte-vf0pv9,html > body > div:nth-of-type(2) > div > header > div > nav > ul > li > a,0,Premium,0,Premium,A,/html/body/div[2]/div/header/div/nav/ul/li/a,A,Premium,2,101,703,0
80,mh-header-primary svelte-vf0pv9,html > body > div:nth-of-type(2) > div > header > div > nav > ul > li:nth-of-type(2) > a,0,Help,0,Help,A,/html/body/div[2]/div/header/div/nav/ul/li[2]/a,A,Help,3,69,803,0
80,mh-header-primary svelte-vf0pv9,html > body > div:nth-of-type(2) > div > header > div > nav > ul > li:nth-of-type(3) > a,0,Download,0,Download,A,/html/body/div[2]/div/header/div/nav/ul/li[3]/a,A,Download,4,110,872,0
80,mh-header-secondary mh-tier-2 svelte-vf0pv9,html > body > div:nth-of-type(2) > div > header > div > nav > ul > li:nth-of-type(5) > a,0,Sign up,0,Sign up,A,/html/body/div[2]/div/header/div/nav/ul/li[5]/a,A,Sign up,5,90,1017,0
80,mh-header-secondary mh-tier-2 svelte-vf0pv9,html > body > div:nth-of-type(2) > div > header > div > nav > ul > li:nth-of-type(6) > a,0,Log In,0,Log In,A,/html/body/div[2]/div/header/div/nav/ul/li[6]/a,A,Log In,6,63,1107,0
48,Button-oyfj48-0 gZRAav sc-AxheI gIhVbn,section#HERO-0 > article > header > div > div:nth-of-type(4) > div > a,0,Get Premium,0,Get Premiu,A,/html/body/div[2]/div[2]/div/section/article/header/div/div[4]/div/a,A,Get Premium,7,215,383,434
52,Button-oyfj48-0 gZRAav sc-AxheI eJKLRR,section#HERO-0 > article > header > div > div:nth-of-type(4) > div:nth-of-type(2) > a,0,Learn More,0,Learn More,A,/html/body/div[2]/div[2]/div/section/article/header/div/div[4]/div[2]/a,A,Learn More,8,211,606,432
37,0,section#HERO-0 > article > footer > div > a,0,terms and conditions apply,0,terms and ,A,/html/body/div[2]/div[2]/div/section/article/footer/div/a,A,terms and conditions apply,9,397,514,514
48,Button-oyfj48-0 gZRAav sc-AxheI gIhVbn,section#HERO-1 > article > header > div > div:nth-of-type(4) > div > a,0,Get Spotify Free,0,Get Spotif,A,/html/body/div[2]/div[2]/div/section[2]/article/header/div/div[4]/div/a,A,Get Spotify Free,10,253,474,877
40,mh-footer-primary svelte-18o1xvt,html > body > div:nth-of-type(3) > footer > nav > div > a,0,Spotify,0,Spotify,A,/html/body/div[3]/footer/nav/div/a,A,Spotify,11,132,30,1079
42,mh-footer-primary svelte-12h6dnj,html > body > div:nth-of-type(3) > footer > nav > div:nth-of-type(2) > dl > dd > a,0,About,0,About,A,/html/body/div[3]/footer/nav/div[2]/dl/dd/a,A,About,12,45,225,1136
42,mh-footer-primary svelte-12h6dnj,html > body > div:nth-of-type(3) > footer > nav > div:nth-of-type(2) > dl > dd:nth-of-type(2) > a,0,Jobs,0,Jobs,A,/html/body/div[3]/footer/nav/div[2]/dl/dd[2]/a,A,Jobs,13,35,225,1178
42,mh-footer-primary svelte-12h6dnj,html > body > div:nth-of-type(3) > footer > nav > div:nth-of-type(2) > dl > dd:nth-of-type(3) > a,0,For the Record,0,For the Re,A,/html/body/div[3]/footer/nav/div[2]/dl/dd[3]/a,A,For the Record,14,106,225,1220
