height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
32,0,a#header_logo,header_logo,"Twitch
Main Page",0,"Twitch
Mai",A,/html/body/div/div/a,A,"Twitch
Main Page",1,94,130,5
30,button button--text,a#header_login,header_login,Log In,0,Log In,A,/html/body/div/div/div[2]/div[2]/a,A,Log In,2,59,931,15
30,button button--text last,a#header_signup,header_signup,Sign Up,0,Sign Up,A,/html/body/div/div/div[2]/div[2]/a[2],A,Sign Up,3,70,1000,15
30,button button--text,a#header_turbo,header_turbo,Go Turbo,0,Go Turbo,A,/html/body/div/div/div[2]/div[4]/a,A,Go Turbo,4,78,831,15
30,button button--text,a#header_browse,header_browse,Browse,0,Browse,A,/html/body/div/div/div[2]/a,A,Browse,5,67,754,15
30,leaf leaf--dark leaf--big leaf--anim-basic focused,div#ember660 > form > input,0,,0,,INPUT,/html/body/div/div/div[2]/div[5]/div/form/input,INPUT,,6,200,544,15
270,game clearfix,div#games > div > a,0,"League of Legends

118,201 viewers",0,League of ,A,/html/body/div[4]/div[4]/div[2]/div/a,A,"League of Legends

118,201 viewers",7,140,130,762
270,game clearfix,div#games > div > a:nth-of-type(2),0,"Creative

56,169 viewers",0,"Creative

",A,/html/body/div[4]/div[4]/div[2]/div/a[2],A,"Creative

56,169 viewers",8,140,290,762
270,game clearfix,div#games > div > a:nth-of-type(3),0,"Counter-Strike: Global Offensive

53,302 viewers",0,Counter-St,A,/html/body/div[4]/div[4]/div[2]/div/a[3],A,"Counter-Strike: Global Offensive

53,302 viewers",9,140,450,762
270,game clearfix,div#games > div > a:nth-of-type(4),0,"Overwatch

43,260 viewers",0,"Overwatch
",A,/html/body/div[4]/div[4]/div[2]/div/a[4],A,"Overwatch

43,260 viewers",10,140,610,762
270,game clearfix,div#games > div > a:nth-of-type(5),0,"Dota 2

26,266 viewers",0,"Dota 2

26",A,/html/body/div[4]/div[4]/div[2]/div/a[5],A,"Dota 2

26,266 viewers",11,140,130,1052
270,game clearfix,div#games > div > a:nth-of-type(6),0,"Call of Duty: Black Ops III

25,685 viewers",0,Call of Du,A,/html/body/div[4]/div[4]/div[2]/div/a[6],A,"Call of Duty: Black Ops III

25,685 viewers",12,140,290,1052
270,game clearfix,div#games > div > a:nth-of-type(7),0,"Hearthstone: Heroes of Warcraft

21,882 viewers",0,Hearthston,A,/html/body/div[4]/div[4]/div[2]/div/a[7],A,"Hearthstone: Heroes of Warcraft

21,882 viewers",13,140,450,1052
270,game clearfix,div#games > div > a:nth-of-type(8),0,"Destiny

13,100 viewers",0,"Destiny

1",A,/html/body/div[4]/div[4]/div[2]/div/a[8],A,"Destiny

13,100 viewers",14,140,610,1052
270,game clearfix,div#games > div > a:nth-of-type(9),0,"Minecraft

10,602 viewers",0,"Minecraft
",A,/html/body/div[4]/div[4]/div[2]/div/a[9],A,"Minecraft

10,602 viewers",15,140,770,1052
270,game clearfix,div#games > div > a:nth-of-type(10),0,"World of Warcraft

10,110 viewers",0,World of W,A,/html/body/div[4]/div[4]/div[2]/div/a[10],A,"World of Warcraft

10,110 viewers",16,140,930,1052
270,game clearfix,div#games > div > a:nth-of-type(11),0,"Dead by Daylight

9,422 viewers",0,Dead by Da,A,/html/body/div[4]/div[4]/div[2]/div/a[11],A,"Dead by Daylight

9,422 viewers",17,140,130,1342
270,game clearfix,div#games > div > a:nth-of-type(12),0,"Rust

8,569 viewers",0,"Rust

8,56",A,/html/body/div[4]/div[4]/div[2]/div/a[12],A,"Rust

8,569 viewers",18,140,290,1342
19,0,div#games > div:nth-of-type(2) > h4 > a,0,See all live Games,0,See all li,A,/html/body/div[4]/div[4]/div[2]/div[2]/h4/a,A,See all live Games,19,131,920,1349
36,facebook social-media__button button button--large primary large,div#social-media > div > a,0,Facebook,0,Facebook,A,/html/body/div[4]/div[4]/div[3]/div/a,A,Facebook,20,95,438,1538
36,twitter social-media__button button button--large primary large,div#social-media > div > a:nth-of-type(2),0,Twitter,0,Twitter,A,/html/body/div[4]/div[4]/div[3]/div/a[2],A,Twitter,21,71,557,1538
36,blog social-media__button button button--large primary large,div#social-media > div > a:nth-of-type(3),0,Official Blog,0,Official B,A,/html/body/div[4]/div[4]/div[3]/div/a[3],A,Official Blog,22,111,651,1538
169,cap,div#top-channels > div > div > div > a,0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div/div/div/a,A,,23,300,130,1756
57,boxart,div#top-channels > div > div > div > a:nth-of-type(2),0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div/div/div/a[2],A,,24,42,388,1868
17,0,div#top-channels > div > div > div:nth-of-type(2) > p > a,0,Frack It Friday - Twitter: @LIRIK,0,Frack It F,A,/html/body/div[4]/div[4]/div[4]/div/div/div/div[2]/p/a,A,Frack It Friday - Twitter: @LIRIK,25,197,130,1939
14,0,div#top-channels > div > div > div:nth-of-type(2) > p:nth-of-type(2) > a,0,LIRIK,0,LIRIK,A,/html/body/div[4]/div[4]/div[4]/div/div/div/div[2]/p[2]/a,A,LIRIK,26,29,231,1960
169,cap,div#top-channels > div:nth-of-type(2) > div > div > a,0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[2]/div/div/a,A,,27,300,450,1756
57,boxart,div#top-channels > div:nth-of-type(2) > div > div > a:nth-of-type(2),0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[2]/div/div/a[2],A,,28,42,708,1868
17,0,div#top-channels > div:nth-of-type(2) > div > div:nth-of-type(2) > p > a,0,#FreiAb18 ★ Heute mit #GROBI ★ Im Unlimited XXL Unlimited Director's Cut Edition Steel Box Value Pack (Limitiert),0,#FreiAb18 ,A,/html/body/div[4]/div[4]/div[4]/div/div[2]/div/div[2]/p/a,A,#FreiAb18 ★ Heute mit #GROBI ★ Im Unlimited XXL Unlimited Director's Cut Edition Steel Box Value Pack (Limitiert),29,731,450,1939
14,0,div#top-channels > div:nth-of-type(2) > div > div:nth-of-type(2) > p:nth-of-type(2) > a,0,Gronkh,0,Gronkh,A,/html/body/div[4]/div[4]/div[4]/div/div[2]/div/div[2]/p[2]/a,A,Gronkh,30,39,551,1960
169,cap,div#top-channels > div:nth-of-type(3) > div > div > a,0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[3]/div/div/a,A,,31,300,770,1756
57,boxart,div#top-channels > div:nth-of-type(3) > div > div > a:nth-of-type(2),0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[3]/div/div/a[2],A,,32,42,1028,1868
17,0,div#top-channels > div:nth-of-type(3) > div > div:nth-of-type(2) > p > a,0,The Fallout 4 100% Run continues! - 480k HYPU! - Survival Difficulty (Hardest) / No Fast Travel! - !2year :D,0,The Fallou,A,/html/body/div[4]/div[4]/div[4]/div/div[3]/div/div[2]/p/a,A,The Fallout 4 100% Run continues! - 480k HYPU! - Survival Difficulty (Hardest) / No Fast Travel! - !2year :D,33,665,770,1939
14,0,div#top-channels > div:nth-of-type(3) > div > div:nth-of-type(2) > p:nth-of-type(2) > a,0,CohhCarnage,0,CohhCarnag,A,/html/body/div[4]/div[4]/div[4]/div/div[3]/div/div[2]/p[2]/a,A,CohhCarnage,34,75,871,1960
169,cap,div#top-channels > div:nth-of-type(4) > div > div > a,0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[4]/div/div/a,A,,35,300,130,1997
57,boxart,div#top-channels > div:nth-of-type(4) > div > div > a:nth-of-type(2),0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[4]/div/div/a[2],A,,36,42,388,2109
17,0,div#top-channels > div:nth-of-type(4) > div > div:nth-of-type(2) > p > a,0,Legion Beta stuff @Sodapoppintv,0,Legion Bet,A,/html/body/div[4]/div[4]/div[4]/div/div[4]/div/div[2]/p/a,A,Legion Beta stuff @Sodapoppintv,37,210,130,2180
14,0,div#top-channels > div:nth-of-type(4) > div > div:nth-of-type(2) > p:nth-of-type(2) > a,0,sodapoppin,0,sodapoppin,A,/html/body/div[4]/div[4]/div[4]/div/div[4]/div/div[2]/p[2]/a,A,sodapoppin,38,64,231,2201
169,cap,div#top-channels > div:nth-of-type(5) > div > div > a,0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[5]/div/div/a,A,,39,300,450,1997
57,boxart,div#top-channels > div:nth-of-type(5) > div > div > a:nth-of-type(2),0,,0,,A,/html/body/div[4]/div[4]/div[4]/div/div[5]/div/div/a[2],A,,40,42,708,2109
17,0,div#top-channels > div:nth-of-type(5) > div > div:nth-of-type(2) > p > a,0,Reckful - ^_^,0,Reckful - ,A,/html/body/div[4]/div[4]/div[4]/div/div[5]/div/div[2]/p/a,A,Reckful - ^_^,41,84,450,2180
14,0,div#top-channels > div:nth-of-type(5) > div > div:nth-of-type(2) > p:nth-of-type(2) > a,0,Reckful,0,Reckful,A,/html/body/div[4]/div[4]/div[4]/div/div[5]/div/div[2]/p[2]/a,A,Reckful,42,40,551,2201
