height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
38,ups-analytics,a#ups-skipNav,ups-skipNav,Skip To Main Content,0,Skip To Ma,A,/html/body/div/div/div/div/div/div/a,A,Skip To Main Content,1,140,530,-100
15,ups-analytics,div#ups-header > nav > ul > li > a,0,Log In,0,Log In,A,/html/body/div/div/div/div/div/div/header/div/nav/ul/li/a,A,Log In,2,36,600,14
15,ups-analytics,div#ups-header > nav > ul > li:nth-of-type(2) > a,0,Sign Up,0,Sign Up,A,/html/body/div/div/div/div/div/div/header/div/nav/ul/li[2]/a,A,Sign Up,3,43,677,14
15,0,div#ups-header > nav > ul > li:nth-of-type(3) > a,0,Locations,0,Locations,A,/html/body/div/div/div/div/div/div/header/div/nav/ul/li[3]/a,A,Locations,4,52,761,14
15,ups-menu_toggle ups-analytics,a#ups-language-toggle,ups-language-toggle,United States - English,0,United Sta,A,/html/body/div/div/div/div/div/div/header/div/nav/ul/li[4]/a,A,United States - English,5,170,854,14
15,ups-menu_toggle ups-analytics,a#ups-account-toggle,ups-account-toggle,My Profile,0,My Profile,A,/html/body/div/div/div/div/div/div/header/div/nav/ul/li[5]/a,A,My Profile,6,75,1065,14
26,0,input#ups-mainNav-search,ups-mainNav-search,,ups-search,,INPUT,/html/body/div/div/div/div/div/div/header/div/form/input,INPUT,,7,198,941,45
26,ups-header_search_submit,button#ups-mainNav_search_submit,ups-mainNav_search_submit,,0,,BUTTON,/html/body/div/div/div/div/div/div/header/div/form/button,BUTTON,Go,8,28,1111,45
78,ups-analytics,a#ups-header_logo,ups-header_logo,,0,,A,/html/body/div/div/div/div/div/div/header/div/a,A,,9,67,60,32
32,ups-analytics ups-toolsToggle,a#ups-quickStartMenu,ups-quickStartMenu,Quick Start,0,Quick Star,A,/html/body/div/div/div/div/div/div/header/div/div/a,A,Quick Start,10,250,60,85
19,0,div#ups-quickStartPanel > div > h3 > a,0,Get Started with UPS,0,Get Starte,A,/html/body/div/div/div/div/div/div/header/div/div/div/div/h3/a,A,Get Started with UPS,11,164,130,154
28,ups-simpleTrack_input ups-form_input,textarea#ups-track--qs,ups-track--qs,,trackNums,,TEXTAREA,/html/body/div/div/div/div/div/div/header/div/div/div/ul/li/div/div/div/div[2]/form/div/textarea,TEXTAREA,,12,198,82,244
28,ups-simpleTrack_btn ups-cta ups-analytics,button#ups-tracking-submit,ups-tracking-submit,,0,,BUTTON,/html/body/div/div/div/div/div/div/header/div/div/div/ul/li/div/div/div/div[2]/form/button,BUTTON,Go,13,28,280,244
