height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
35,skip-link font-semibold skip-header text-center visuallyhidden,a#skipHeaderLink,skipHeaderLink,Skip to main content,0,Skip to ma,A,/html/body/div/div/div/a,A,Skip to main content,1,170,2,-1
44,a1qUqR a3zRsu a2btJm a2HAz5,a#vh-home-link,vh-home-link,,0,,A,/html/body/div/div/div/div/div/div/div/div[2]/div/h1/a,A,,2,44,8,0
44,a1qUqR a2kQ75 a2btJm,button#header-sparkmenu-toggle,header-sparkmenu-toggle,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[2]/div/button,BUTTON,,3,44,60,0
44,a1qUqR a26mvd,button#global-search-dropdown-toggle,global-search-dropdown-toggle,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[2]/form/button,BUTTON,,4,50,293,0
44,a29IF- a1rYm7 header-GlobalSearch-input mweb-Typeahead-input A3YAP,input#global-search-input,global-search-input,,query,,INPUT,/html/body/div/div/div/div/div/div/div/div[2]/form/input[2],INPUT,,5,400,343,0
44,a1qUqR a2GoU- GlobalHeaderSearchbar-submit a2btJm,button#global-search-submit,global-search-submit,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[2]/form/button[3],BUTTON,,6,44,743,0
40,a2HAz5 a1qUqR a2QOg1 a2btJm,div#header-bubble-links > div > a,0,Grocery,0,Grocery,A,/html/body/div/div/div/div/div/div/div/div[2]/div[2]/div/a,A,Grocery,7,40,976,2
40,a1qUqR a2QOg1 a2btJm,button#header-account-toggle,header-account-toggle,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[2]/div[2]/div[2]/button,BUTTON,Account,8,40,1032,2
40,a1qUqR a2QOg1 a2btJm,button#header-location-toggle,header-location-toggle,,0,,BUTTON,/html/body/div/div/div/div/div/div/div/div[2]/div[2]/div[3]/button,BUTTON,Stores,9,40,1088,2
40,a2HAz5 a1qUqR a2QOg1 a2btJm,div#header-bubble-links > div:nth-of-type(4) > a,0,Cart,0,Cart,A,/html/body/div/div/div/div/div/div/div/div[2]/div[2]/div[4]/a,A,Cart,10,40,1144,2
236,PanelOverlay-linkOverlay,html > body > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div > ul > li > div > div > div > a,0,,0,,A,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div/ul/li/div/div/div/a,A,,11,308,-3600,241
523,ClickThroughImage-link display-block,html > body > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div > ul > li > div > div > div:nth-of-type(2) > div > a,0,,0,,A,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div/ul/li/div/div/div[2]/div/a,A,,12,1194,-3597,3
523,ClickThroughImage-link display-block,html > body > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div > ul > li:nth-of-type(3) > div > div > div > div > a,0,,0,,A,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div/ul/li[3]/div/div/div/div/a,A,,13,1194,-1197,3
523,ClickThroughImage-link display-block,html > body > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div > ul > li:nth-of-type(4) > div > div > div > div > a,0,,0,,A,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div/ul/li[4]/div/div/div/div/a,A,,14,1194,3,3
236,PanelOverlay-linkOverlay,html > body > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div > ul > li:nth-of-type(5) > div > div > div > a,0,,0,,A,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div/ul/li[5]/div/div/div/a,A,,15,308,1200,241
523,ClickThroughImage-link display-block,a#povActive,povActive,,0,,A,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div/ul/li[5]/div/div/div[2]/div/a,A,,16,1194,1203,3
19,btn elc-icon paginator-pause-play elc-icon-pause font-bold,html > body > div > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div:nth-of-type(2) > div > div > ul > li > button,0,,0,,BUTTON,/html/body/div/div/div/div[2]/div/div/div/div/div/div/div/div[2]/div/div/ul/li/button,BUTTON,pause slide animation,17,28,532,493
