height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
43,link-box,a#js-link-box-en,js-link-box-en,"English
5 817 000+ articles",0,"English
5 ",A,/html/body/div/div/a,A,"English
5 817 000+ articles",1,156,389,111
43,link-box,a#js-link-box-es,js-link-box-es,"Español
1 508 000+ artículos",0,"Español
1 ",A,/html/body/div/div[2]/a,A,"Español
1 508 000+ artículos",2,156,655,111
43,link-box,a#js-link-box-ja,js-link-box-ja,"日本語
1 141 000+ 記事",0,"日本語
1 141 ",A,/html/body/div/div[3]/a,A,"日本語
1 141 000+ 記事",3,156,335,176
43,link-box,a#js-link-box-de,js-link-box-de,"Deutsch
2 278 000+ Artikel",0,"Deutsch
2 ",A,/html/body/div/div[4]/a,A,"Deutsch
2 278 000+ Artikel",4,156,709,176
43,link-box,a#js-link-box-ru,js-link-box-ru,"Русский
1 532 000+ статей",0,"Русский
1 ",A,/html/body/div/div[5]/a,A,"Русский
1 532 000+ статей",5,156,324,241
43,link-box,a#js-link-box-fr,js-link-box-fr,"Français
2 086 000+ articles",0,"Français
2",A,/html/body/div/div[6]/a,A,"Français
2 086 000+ articles",6,156,720,241
43,link-box,a#js-link-box-it,js-link-box-it,"Italiano
1 511 000+ voci",0,"Italiano
1",A,/html/body/div/div[7]/a,A,"Italiano
1 511 000+ voci",7,156,335,306
43,link-box,a#js-link-box-zh,js-link-box-zh,"中文
1 047 000+ 條目",0,"中文
1 047 0",A,/html/body/div/div[8]/a,A,"中文
1 047 000+ 條目",8,156,709,306
43,link-box,a#js-link-box-pt,js-link-box-pt,"Português
1 018 000+ artigos",0,"Português
",A,/html/body/div/div[9]/a,A,"Português
1 018 000+ artigos",9,156,389,371
43,link-box,a#js-link-box-pl,js-link-box-pl,"Polski
1 322 000+ haseł",0,"Polski
1 3",A,/html/body/div/div[10]/a,A,"Polski
1 322 000+ haseł",10,156,655,371
43,0,input#searchInput,searchInput,,search,,INPUT,/html/body/div[2]/form/fieldset/div/input,INPUT,,11,394,375,446
24,0,select#searchLanguage,searchLanguage,,language,,SELECT,/html/body/div[2]/form/fieldset/div/div/div/select,SELECT,"العربية
Azərbaycanca
Български
Bân-lâm-gú / Hō-ló-oē
Беларуская (Акадэмічная)
Català
Čeština
Dansk
Deutsch
Eesti
Ελληνικά
English
Español
Esperanto
Euskara
فارسی
Français
Galego
Հայերեն
हिन्दी
Hrvatski
Bahasa Indonesia
Italiano
עברית
ქართული
Latina
Lietuvių
Magyar
Bahasa Melayu
Bahaso Minangkabau
Nederlands
日本語
Norsk (Bokmål)
Norsk (Nynorsk)
Нохчийн
Oʻzbekcha / Ўзбекча
Polski
Português
Қазақша / Qazaqşa / قازاقشا
Română
Русский
Cymraeg
Simple English
Sinugboanong Binisaya
Slovenčina
Slovenščina
Српски / Srpski
Srpskohrvatski / Српскохрватски
Suomi
Svenska
தமிழ்
ภาษาไทย
Türkçe
تۆرکجه
Українська
اردو
Tiếng Việt
Volapük
Winaray
中文
한국어",12,110,708,456
44,pure-button pure-button-primary-progressive,form#search-form > fieldset > button,0,,0,,BUTTON,/html/body/div[2]/form/fieldset/button,BUTTON,Search,13,56,769,446
33,lang-list-button,button#js-lang-list-button,js-lang-list-button,,0,,BUTTON,/html/body/div[3]/button,BUTTON,Read Wikipedia in your language,14,279,461,521
34,0,body#www-wikipedia-org > div:nth-of-type(6) > div > div > div:nth-of-type(2) > a,0,Wikimedia Foundation,0,Wikimedia ,A,/html/body/div[6]/div/div/div[2]/a,A,Wikimedia Foundation,15,222,74,633
15,jsl10n,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(2) > div > div > ul > li > a,0,Download for iOS on the App Store,0,Download f,A,/html/body/div[6]/div[2]/div/div/ul/li/a,A,Download for iOS on the App Store,16,208,74,750
15,jsl10n,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(2) > div > div > ul > li:nth-of-type(2) > a,0,Download for Android on Google Play,0,Download f,A,/html/body/div[6]/div[2]/div/div/ul/li[2]/a,A,Download for Android on Google Play,17,223,74,769
15,0,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(2) > div > div > ul > li:nth-of-type(3) > span > a,0,View full list of available Wikipedia apps,0,View full ,A,/html/body/div[6]/div[2]/div/div/ul/li[3]/span/a,A,View full list of available Wikipedia apps,18,237,74,788
50,other-project-link,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(3) > div > a,0,"Commons
Freely usable photos & more",0,"Commons
Fr",A,/html/body/div[6]/div[3]/div/a,A,"Commons
Freely usable photos & more",19,271,365,631
50,other-project-link,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(3) > div:nth-of-type(2) > a,0,"Wikivoyage
Free travel guide",0,Wikivoyage,A,/html/body/div[6]/div[3]/div[2]/a,A,"Wikivoyage
Free travel guide",20,271,636,631
50,other-project-link,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(3) > div:nth-of-type(3) > a,0,"Wiktionary
Free dictionary",0,Wiktionary,A,/html/body/div[6]/div[3]/div[3]/a,A,"Wiktionary
Free dictionary",21,271,908,631
50,other-project-link,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(3) > div:nth-of-type(4) > a,0,"Wikibooks
Free textbooks",0,"Wikibooks
",A,/html/body/div[6]/div[3]/div[4]/a,A,"Wikibooks
Free textbooks",22,271,365,721
50,other-project-link,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(3) > div:nth-of-type(5) > a,0,"Wikinews
Free news source",0,"Wikinews
F",A,/html/body/div[6]/div[3]/div[5]/a,A,"Wikinews
Free news source",23,271,636,721
50,other-project-link,body#www-wikipedia-org > div:nth-of-type(6) > div:nth-of-type(3) > div:nth-of-type(6) > a,0,"Wikidata
Free knowledge base",0,"Wikidata
F",A,/html/body/div[6]/div[3]/div[6]/a,A,"Wikidata
Free knowledge base",24,271,908,721
