height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
12,0,div#skiptocontent > a,0,Skip to main content,0,Skip to ma,A,/html/body/div[2]/div/a,A,Skip to main content,1,12,0,0
14,0,div#black-topbar > div > ul > li > a,0,Request a Demo,0,Request a ,A,/html/body/div[2]/div[2]/div/div/div/div/ul/li/a,A,Request a Demo,2,95,824,14
14,support-phone,div#black-topbar > div > ul > li:nth-of-type(2) > a,0,1.888.799.9666,0,1.888.799.,A,/html/body/div[2]/div[2]/div/div/div/div/ul/li[2]/a,A,1.888.799.9666,3,78,941,14
14,dropdown-toggle,a#btnResouces,btnResouces,Resources,0,Resources,A,/html/body/div[2]/div[2]/div/div/div/div/ul/li[3]/a,A,Resources,4,75,1042,14
14,0,div#black-topbar > div > ul > li:nth-of-type(4) > a,0,Support,0,Support,A,/html/body/div[2]/div[2]/div/div/div/div/ul/li[4]/a,A,Support,5,49,1141,14
15,imglink,div#header > div:nth-of-type(2) > div > div > a,0,,0,,A,/html/body/div[2]/div[2]/div/div/div[2]/div/div/a,A,,6,154,0,63
64,dropdown-toggle,a#btnSolutions,btnSolutions,SOLUTIONS,0,SOLUTIONS,A,/html/body/div[2]/div[2]/div/div/div[2]/div[2]/div/ul/li[2]/a,A,SOLUTIONS,7,110,154,40
64,top-pricing,div#navbar > ul > li:nth-of-type(7) > a,0,Plans & Pricing,0,Plans & Pr,A,/html/body/div[2]/div[2]/div/div/div[2]/div[2]/div/ul/li[7]/a,A,Plans & Pricing,8,130,264,40
64,top-contactsales top-sales,div#navbar > ul > li:nth-of-type(9) > a,0,Contact Sales,0,Contact Sa,A,/html/body/div[2]/div[2]/div/div/div[2]/div[2]/div/ul/li[9]/a,A,Contact Sales,9,123,394,40
64,hidden-xs,a#btnJoinMeeting,btnJoinMeeting,JOIN A MEETING,0,JOIN A MEE,A,/html/body/div[2]/div[2]/div/div/div[2]/div[2]/div/ul[2]/li/a,A,JOIN A MEETING,10,124,850,40
