signature,cluster_size,locator_id_stability,locator_name_stability,locator_class_stability,locator_linkText_stability,locator_partialLinkText_stability,locator_xpath_stability,locator_css_stability
a||footer-account||||account,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-account||||compte,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-cart||||cart,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-cart||||chariot,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-category||||category,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-category||||catégorie,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-home||||accueil,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||footer-home||||home,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
a||ms-cart||||nan,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"a||switcher-info||||/
    
        english
        /",6,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"a||switcher-info||||/
english
/
usd",38,1.0,0.0,1.0,1.0,1.0,0.5789473684210527,1.0
"a||switcher-info||||dostawa do
        /
        usd",1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"a||switcher-info||||enviar a
        /
        usd",3,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0
"a||switcher-info||||enviar para
        /
        usd",3,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
"a||switcher-info||||envoyez à
        /
        usd",3,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0
"a||switcher-info||||ship to
        /
        usd",33,1.0,0.0,1.0,1.0,1.0,0.2727272727272727,1.0
"a||switcher-info||||spedire a
        /
        usd",1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"a||switcher-info||||versand nach
        /
        usd",2,1.0,0.0,1.0,1.0,1.0,0.5,1.0
"a||switcher-info||||verzenden naar
        /
        usd",1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"a||switcher-info||||до�?тавка в
        /
        usd",4,1.0,0.0,1.0,1.0,1.0,0.75,1.0
"a||switcher-info||||الشحن إلى
        /
        usd",1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
a||switcher-language-info||||idioma,6,1.0,0.0,1.0,1.0,1.0,0.5,1.0
a||switcher-language-info||||język,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
a||switcher-language-info||||language,33,1.0,0.0,1.0,1.0,1.0,0.2727272727272727,1.0
a||switcher-language-info||||langue,3,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0
a||switcher-language-info||||lingua,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
a||switcher-language-info||||sprache,2,1.0,0.0,1.0,1.0,1.0,0.5,1.0
a||switcher-language-info||||taal,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
a||switcher-language-info||||язык,4,1.0,0.0,1.0,1.0,1.0,0.75,1.0
a||switcher-language-info||||اللغة,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||$5 deals,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||0,42,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,1.0
"a||||||12 632,10 руб. -21%",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||14% off
                                                    
                                                    € 48,70
                                                    € 56,63",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||15 990,00 руб.",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||15 дней на возврат,3,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
"a||||||15% off
                                                    
                                                    us $2.88
                                                    us $3.39",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||15% off
                                                    
                                                    € 5,20
                                                    € 6,12",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||1688,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
"a||||||20% off
                                                    
                                                    us $2.04
                                                    us $2.55",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||2019's best deals!,15,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,0.06666666666666667
"a||||||23% off
                                                    
                                                    € 20,21
                                                    € 26,25",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||25% off
                                                    
                                                    € 4,83
                                                    € 6,44",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||29% off
                                                    
                                                    us $11.69
                                                    us $16.47",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||30 inch bundles,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||41% off
                                                    
                                                    € 3,62
                                                    € 6,13",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||43% off
                                                    
                                                    € 13,23
                                                    € 23,20",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||44% off
                                                    
                                                    € 9,66
                                                    € 17,24",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||5% off
                                                    
                                                    us $0.93
                                                    us $0.98",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||50% off
                                                    
                                                    us $10.83
                                                    us $21.65",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||50% off
                                                    
                                                    us $5.99
                                                    us $11.98",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||78% off
                                                    
                                                    us $0.33
                                                    us $1.50",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||aanmelden,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||account,34,0.0,0.0,0.0,1.0,1.0,0.7058823529411765,1.0
a||||||acessar,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||acordo de serviços de transação,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||action figure,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||acuerdo de servicios de transacción,5,0.0,0.0,0.0,1.0,1.0,0.4,0.4
a||||||aesthetic stickers,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||affiliate program,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||agenda 2020,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||airpod case,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||ajax 2020 2021 kids,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||alcohol tester,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||alibaba cloud,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||alibaba group website,86,0.0,0.0,0.0,1.0,1.0,0.46511627906976744,0.46511627906976744
